field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,behavioral_health_and_personality,,text,"Record ID",,,,,,,,,,,,,
bhp,behavioral_health_and_personality,,descriptive,"Behavioral Health and Personality",,,,,,,,,,,,,
bhp_intro,behavioral_health_and_personality,,descriptive,"The following questions ask about your behavioral health and personality. Participating in this survey will help us understand behavioral health concerns and how they affect overall health. This survey will take approximately 5 minutes to complete. At the completion of this survey, you will have the option to review individual results about your personality if you choose. The report is based on answering all questions in the personality traits section.

Please answer each question as honestly as possible. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you must spend a long time over each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some questions also let you say if you don't know an answer or would rather not answer. Some of the questions may be sensitive. You can choose not to answer any question.",,,,,,,,,,,,,
attention_focus,behavioral_health_and_personality,,descriptive,"Attention and Focus

Everyone has different abilities to pay attention and get things done. These abilities can change over time. Sometimes they can even change over the course of a day. Answering these next questions may help researchers learn more about the brain and attention. 

During the past 6 months,",,,,,,,,,,,,,
asrs_1,behavioral_health_and_personality,,radio,"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often",,,,,,,,,,,,
asrs_2,behavioral_health_and_personality,,radio,"How often do you have difficulty getting things in order when you have to do a task that requires organization?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often",,,,,,,,,,,,
asrs_3,behavioral_health_and_personality,,radio,"How often do you have problems remembering appointments or obligations?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often","Obligations: Duties, responsibilities, or commitments.",,,,,,,,,,,
asrs_4,behavioral_health_and_personality,,radio,"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often",,,,,,,,,,,,
asrs_5,behavioral_health_and_personality,,radio,"How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often",,,,,,,,,,,,
asrs_6,behavioral_health_and_personality,,radio,"How often do you feel overly active and compelled to do things, like you were driven by a motor?","bhp_61, Never | bhp_89, Rarely | bhp_90, Sometimes | bhp_91, Often | bhp_92, Very often",,,,,,,,,,,,
mood_energy,behavioral_health_and_personality,,descriptive,"Shifts in Mood, Energy, and Activity

People often experience changes in their mood or energy levels. Changes in mood that are unusual or last for a long time can affect overall physical and mental well-being. Sharing details about your mood experiences could help researchers discover new ways to treat mood-related conditions in the future. The next questions ask about unusual moods you may have had. ",,,,,,,,,,,,,
mhqukb_43,behavioral_health_and_personality,,radio,"Have you ever had a period of time when you were feeling so good, ""high,"" ""excited,"" or ""hyper"" that other people thought you were not your normal self or you were so ""hyper"" that you got into trouble?","bhp_6, Yes | bhp_7, No | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,,,,,,,
mhqukb_44,behavioral_health_and_personality,,radio,"Have you ever had a period of time when you were so irritable that you found yourself shouting at people or starting fights or arguments?","bhp_6, Yes | bhp_7, No | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer","Irritable: Becoming easily angry or losing one's temper easily.",,,,,,,,,,,
mhqukb_45,behavioral_health_and_personality,,checkbox,"Please try to remember a period when you were in a ""high"" or ""irritable"" state and select all of the following that apply:","bhp_75, I was more active than usual | bhp_76, I was more talkative than usual | bhp_77, I needed less sleep than usual | bhp_78, I was more creative or had more ideas than usual | bhp_79, I was more restless than usual | bhp_80, I was more confident than usual | bhp_81, My thoughts were racing | bhp_82, I was easily distracted | pmi_none, None of the above | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,"@NONEOFTHEABOVE = 'pmi_none,pmi_prefernottoanswer'"
mhqukb_46,behavioral_health_and_personality,,radio,"What is the longest time that these ""high"" or ""irritable"" periods have lasted?","bhp_83, Less than 24 hours | bhp_84, At least a day, but less than four days | bhp_85, At least four days in a row but less than a week | bhp_86, A week or more | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,
mhqukb_48,behavioral_health_and_personality,,radio,"How old were you the FIRST time that you had a period of at least four days like this? If you don't know, please use your best guess. ","bhp_46, Enter age | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_46] = 'bhp_85' or [mhqukb_46] = 'bhp_86'",,,,,,
mhqukb_48_age,behavioral_health_and_personality,,text,"Enter years of age when first felt this way",,,integer,2,99,,"[mhqukb_48] = 'bhp_46'",,,,,,
mhqukb_47,behavioral_health_and_personality,,radio,"How much of a problem have these ""high"" or ""irritable"" periods caused you?","bhp_87, No problems | bhp_88, Needed treatment or caused problems with work, relationships, finances, the law or other aspects of life | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,
unusual_experiences,behavioral_health_and_personality,,descriptive,"Unusual Experiences and Perceptions

Some people see or hear things that others do not see or hear. These are unusual experiences that could be a sign of a mental health condition that can be treated. The next section asks about these and other unusual experiences. Your answers could help researchers better understand why these experiences happen and how to help people who have them. 

With that in mind, did you ever in your life have any of the following experiences?",,,,,,,,,,,,,
mhqukb_49,behavioral_health_and_personality,,radio,"Did you ever see something that wasn't really there that other people could not see? Please do not include any times when you were dreaming or half-asleep or under the influence of alcohol or drugs.","bhp_6, Yes | bhp_7, No | pmi_prefernottoanswer, Prefer not to answer",,,,,,,,,,,,
mhqukb_50,behavioral_health_and_personality,,radio,"About how many times in your life did this happen?","bhp_44, Enter number | bhp_45, Too many to count | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_49] = 'bhp_6'",,,,,,
mhqukb_50_number,behavioral_health_and_personality,,text,"Enter number of times",,,integer,1,999,,"[mhqukb_50] = 'bhp_44'",,,,,,
cidi5_21,behavioral_health_and_personality,,radio,"Did you ever hear voices that other people did not hear like voices coming from inside your head talking to you or about you, or voices coming out of the air when there was no one around?","bhp_6, Yes | bhp_7, No | pmi_prefernottoanswer, Prefer not to answer",,,,,,,,,,,,
mhqukb_51,behavioral_health_and_personality,,radio,"About how many times in your life did this happen?","bhp_44, Enter number of times | bhp_45, Too many to count | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[cidi5_21] = 'bhp_6'",,,,,,
mhqukb_51_number,behavioral_health_and_personality,,text,"Enter number of times",,,integer,1,999,,"[mhqukb_51] = 'bhp_44'",,,,,,
cidi5_22,behavioral_health_and_personality,,radio,"Did you ever think some force was trying to communicate directly with you by sending special signs or signals, like through the radio or television, that you could understand but that no one else could understand?","bhp_6, Yes | bhp_7, No | pmi_prefernottoanswer, Prefer not to answer",,,,,,,,,,,,
mhqukb_52,behavioral_health_and_personality,,radio,"About how many times in your life did this happen?","bhp_44, Enter number | bhp_45, Too many to count | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[cidi5_22] = 'bhp_6'",,,,,,
mhqukb_52_number,behavioral_health_and_personality,,text,"Enter number of times",,,integer,1,999,,"[mhqukb_52] = 'bhp_44'",,,,,,
cidi5_23,behavioral_health_and_personality,,radio,"Did you ever believe there was a plot to harm you or to have people follow you, but your friends or family did not think this was true?","bhp_6, Yes | bhp_7, No | pmi_prefernottoanswer, Prefer not to answer","Plot: A secret plan or scheme.",,,,,,,,,,,
mhqukb_53,behavioral_health_and_personality,,radio,"About how many times in your life did this happen?","bhp_44, Enter number | bhp_45, Too many to count | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[cidi5_23] = 'bhp_6'",,,,,,
mhqukb_53_number,behavioral_health_and_personality,,text,"Enter number of times",,,integer,1,999,,"[mhqukb_53] = 'bhp_44'",,,,,,
cidi5_24,behavioral_health_and_personality,,text,"About how old were you when you first had one of these experiences (seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)? If you don't know, please use your best guess.",,,integer,2,99,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_54,behavioral_health_and_personality,,radio,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","bhp_96, Not distressing at all. It was a positive experience | bhp_97, Not distressing, a neutral experience | bhp_98, A bit distressing | bhp_99, Quite distressing | bhp_100, Very distressing | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer","Distressing: Upsetting.",,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_55,behavioral_health_and_personality,,radio,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)? ","bhp_6, Yes | bhp_7, No | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_56,behavioral_health_and_personality,,radio,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)? ","bhp_6, Yes | bhp_7, No | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
panic_anxiety,behavioral_health_and_personality,,descriptive,"Experiences of Panic and Anxiety

The next section asks about panic attacks. Panic attacks are also called anxiety attacks. These are sudden, strong feelings of fear that reach their peak within a few minutes. When a person is having an anxiety attack, they usually have physical symptoms, too. When these symptoms happen, they can be severe and frightening, so much so that people may think they are having a heart attack. Your answers to these next questions may help researchers understand how to better prevent and treat these attacks.",,,,,,,,,,,,,
cidi5_16,behavioral_health_and_personality,,radio,"With this definition in mind, did you ever in your life have a panic attack?","bhp_6, Yes | bhp_7, No",,,,,,,,,,,,
cidi5_17,behavioral_health_and_personality,,radio,"Have any of these panic attacks occurred ""out of the blue"" for no apparent reason?","bhp_6, Yes | bhp_7, No | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_18,behavioral_health_and_personality,,radio,"After these attacks started, did you worry a lot about having another attack or do anything differently to avoid having another attack?
","bhp_6, Yes | bhp_7, No",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_19,behavioral_health_and_personality,,radio,"About how many panic attacks have you ever had in your life?","bhp_93, 1 or 2 | bhp_94, More than 2 but less than 10 | bhp_95, 10 or more times | pmi_dontknow, Don't know | pmi_prefernottoanswer, Prefer not to answer",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_20,behavioral_health_and_personality,,text,"How old were you the first time you had a panic or anxiety attack? If you don't know, use your best guess.",,,integer,2,99,,"[cidi5_16] = 'bhp_6'",,,,,,
recurring_thoughts,behavioral_health_and_personality,,descriptive,"Recurring Thoughts and Behaviors

Everyone double-checks things. We might double-check that the door is locked, or the oven is off. Some people have the urge to double-check things over and over again, even if they don't want to. Not being able to control thoughts and behaviors can be a sign of a mental health condition that can be treated. In the next section, we ask about thoughts and behaviors that may be hard to control and can cause anxiety.",,"Intrusive: Not wanted.",,,,,,,,,,,
pmi_1,behavioral_health_and_personality,,radio,"Have you ever been bothered with thoughts, images, or urges that kept coming back over and over, even when you didn't want them to, like concerns with germs, order, or experiencing horrific images or intrusive sexual thoughts, or urges to knock or touch objects, or harming a loved one?","bhp_6, Yes | bhp_7, No","Intrusive: Not wanted.",,,,,,,,,,,
pmi_2,behavioral_health_and_personality,,radio,"Was there ever anything that you had to do over and over again and was hard to resist doing, like hand washing, checking the stove, or repeating something over and over a certain number of times or until it feels just right?","bhp_6, Yes | bhp_7, No",,,,,,,,,,,,
cidi5_25,behavioral_health_and_personality,,radio,"Have you ever been unable to stop picking at your skin?","bhp_6, Yes | bhp_7, No",,,,,,,,,,,,
