field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,february_covid19_participant_experience_cope_surve,,text,"Record ID",,,,,,,,,,,,,
cope_feb,february_covid19_participant_experience_cope_surve,,descriptive,"February COPE Survey",,"Start Date: 2/8/2021; End Date: 3/5/2021",,,,,,,,,,,"Launched 2/8/21 - 3/5/2020 (PTSC) & 2/9/21 - 3/5/2020 (CE)."
section_intro,february_covid19_participant_experience_cope_surve,,descriptive,"What should I know before participating?

The All of Us Research Program is interested in understanding the changes in your experiences and health during the time of the coronavirus disease 2019 (COVID-19) pandemic. Help us learn more by completing this survey. Participating in this survey may help researchers around the world better understand the impact of COVID-19 during this challenging time. The All of Us Research Program may repeat this survey throughout the pandemic.

The questions in this survey may be sensitive and may cause worry or anxiety. Remember, your privacy is very important to us. Your name and identity will be separated from your answers before information is shared with approved researchers.
   
No one will monitor your answers in real time. But, based on your answers, the system may suggest free phone and text resources to help you.",,,,,,,,,,,,,
section_participation,february_covid19_participant_experience_cope_surve,,radio,"You can choose not to answer any question at any time. We expect this survey will take most people approximately 8 to 10 minutes to complete. It might take some people longer to complete the survey.","COPE_A_44, Yes, I still want to take the survey. | COPE_A_231, Yes, I would like to take the survey at a later time. | COPE_A_13, No, I do not want to take the survey.","Start Date: 5/7/2020 EXCEPT cope_a_231: 6/2/2020; End Date: 3/5/2021",,,,,,y,LV,,,,
section_instructions,february_covid19_participant_experience_cope_surve,,descriptive,"Please answer each question as honestly as possible. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you must spend a long time over each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some questions also let you say if you don't know an answer or would rather not answer. Some of the questions may be sensitive. You can choose not to answer any question.",,,,,,,,,,,,,
cdc_covid_19_21,february_covid19_participant_experience_cope_surve,"Social Distancing Experiences

The following questions ask about your experiences with social distancing and other risk-prevention measures such as wearing a face mask or face covering when around other people not in your home. Social distancing means keeping at least six feet of space between yourself and other people outside of your home.",radio,"In the past month, have recommendations for socially distancing caused stress for you?","COPE_A_43, A lot | COPE_A_3, Somewhat | COPE_A_67, A little | COPE_A_168, Not at all","Start Date: 5/7/2020; End Date: 3/5/2021",,,,,,,LV,,,,
msds_9,february_covid19_participant_experience_cope_surve,,radio,"Thinking about your current social habits, in the last 5 days:
I have stayed home all day, including not going to a supermarket or any other place of business. I went outside but otherwise stayed at home.","COPE_A_171, None of the days (0 days) | COPE_A_53, A few days (1-2 days) | COPE_A_127, Most days (3-4 days) | COPE_A_150, Every day","Start Date: 5/7/2020; End Date: 3/5/2021",,,,,,,LV,,,,
msds_10,february_covid19_participant_experience_cope_surve,,radio,"Thinking about your current social habits, in the last 5 days:
I have gone to my workplace or volunteer site that is outside my home.","COPE_A_171, None of the days (0 days) | COPE_A_53, A few days (1-2 days) | COPE_A_127, Most days (3-4 days) | COPE_A_150, Every day","Start Date: 5/7/2020; End Date: 3/5/2021",,,,,"[msds_9] = 'COPE_A_171' or [msds_9] = 'COPE_A_53' or [msds_9] = 'COPE_A_127'",,LV,,,,
msds_10_a,february_covid19_participant_experience_cope_surve,,radio,"How often did you wear a face mask or face covering?","COPE_A_120, Never | COPE_A_158, Sometimes | COPE_A_102, Most of the time | COPE_A_129, Always | PMI_DoesNotApplyToMe, Not applicable","Start Date: 5/7/2020 EXCEPT msds_10_a: 10/27/2020; End Date: 3/5/2021",,,,,"[msds_10] = 'COPE_A_53' or [msds_10] = 'COPE_A_127' or [msds_10] = 'COPE_A_150'",,LV,,,,
msds_12,february_covid19_participant_experience_cope_surve,,radio,"Thinking about your current social habits, in the last 5 days:
I have attended social gatherings outside my home of LESS than 10 people.","COPE_A_171, None of the days (0 days) | COPE_A_53, A few days (1-2 days) | COPE_A_127, Most days (3-4 days) | COPE_A_150, Every day","Start Date: 5/7/2020; End Date: 3/5/2021",,,,,"[msds_9] = 'COPE_A_171' or [msds_9] = 'COPE_A_53' or [msds_9] = 'COPE_A_127'",,LV,,,,
