field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,emotional_health_history_and_wellbeing,,text,"Record ID",,,,,,,,,,,,,
ehhwb,emotional_health_history_and_wellbeing,,descriptive,"Emotional Health History and Well-Being",,,,,,,,,,,,,
ehhwb_intro,emotional_health_history_and_wellbeing,,descriptive,"The following questions ask about your emotional health and well-being. Participating in this survey will help us understand emotional health and well-being and how they affect overall health. This survey will take approximately 8 minutes to complete. 

Please answer each question as honestly as possible. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you must spend a long time over each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some questions also let you say if you don't know an answer or would rather not answer. Some of the questions may be sensitive. You can choose not to answer any question.",,,,,,,,,,,,,
anxiety_worry,emotional_health_history_and_wellbeing,,descriptive,"Feelings of General Anxiety and Worry

Everyone worries from time to time. The next questions have to do with anxiety and feelings of worry. Your answers may help researchers better understand how anxiety affects physical and mental health. Sharing your experiences could also improve how to identify and treat anxiety for more people.

Over the last 2 weeks, how often have you been bothered by the following problems?",,"On edge: Feeling tense or uneasy",,,,,,,,,,,
gad7_1,emotional_health_history_and_wellbeing,,radio,"Feeling nervous, anxious, or on edge","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day","On edge: Feeling tense or uneasy.",,,,,,,,,,,
gad7_2,emotional_health_history_and_wellbeing,,radio,"Not being able to stop or control worrying","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day",,,,,,,,,,,,
gad7_3,emotional_health_history_and_wellbeing,,radio,"Worrying too much about different things","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day",,,,,,,,,,,,
gad7_4,emotional_health_history_and_wellbeing,,radio,"Trouble relaxing","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day",,,,,,,,,,,,
gad7_5,emotional_health_history_and_wellbeing,,radio,"Being so restless that it's hard to sit still
","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day",,,,,,,,,,,,
gad7_6,emotional_health_history_and_wellbeing,,radio,"Becoming easily annoyed or irritable","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day","Annoyed or irritable: Becoming easily angry or losing one's temper easily.",,,,,,,,,,,
gad7_7,emotional_health_history_and_wellbeing,,radio,"Feeling afraid as if something awful might happen","ehhwb_8, Not at all | ehhwb_9, Several days | ehhwb_10, More than half of the days | ehhwb_11, Nearly every day",,,,,,,,,,,,
worryanxiety,emotional_health_history_and_wellbeing,,radio,"In your life, was there a period of 6 months or longer when you had problems with worry and anxiety?","ehhwb_6, Yes | ehhwb_7, No",,,,,,,,,,,,
worryanxiety_yes,emotional_health_history_and_wellbeing,,descriptive,"Think of a time in your life lasting 6 months or longer when you had the largest number of problems with worry and anxiety. During those 6 months, how often did you...",,,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_6,emotional_health_history_and_wellbeing,,radio,"Feel worried and anxious?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_7,emotional_health_history_and_wellbeing,,radio,"Worry about a number of different things in your life, such as your work, family, health, or finances?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_8,emotional_health_history_and_wellbeing,,radio,"Worry excessively or too much?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time","Excessively: More than necessary.",,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_9,emotional_health_history_and_wellbeing,,radio,"Have trouble controlling your worry?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_10,emotional_health_history_and_wellbeing,,radio,"Feel restless, keyed up, or on edge?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time","Keyed up, or on edge: Feeling nervous or excited.",,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
worryanxiety_yes_2,emotional_health_history_and_wellbeing,,descriptive,"During those 6 months, how often did you",,,,,,,"([cidi5_6] = 'ehhwb_70' or [cidi5_6] = 'ehhwb_71' or [cidi5_6] = 'ehhwb_72') and ([cidi5_7] = 'ehhwb_70' or [cidi5_7] = 'ehhwb_71' or [cidi5_7] = 'ehhwb_72' or [cidi5_7] = 'ehhwb_73')",,,,,,
cidi5_11,emotional_health_history_and_wellbeing,,radio,"Have difficulty concentrating or your mind going blank?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time","Mind going blank: When you forget what you were thinking about or you cannot think clearly.",,,,,"([cidi5_6] = 'ehhwb_70' or [cidi5_6] = 'ehhwb_71' or [cidi5_6] = 'ehhwb_72') and ([cidi5_7] = 'ehhwb_70' or [cidi5_7] = 'ehhwb_71' or [cidi5_7] = 'ehhwb_72' or [cidi5_7] = 'ehhwb_73')",,,,,,
cidi5_12,emotional_health_history_and_wellbeing,,radio,"Feel irritated, annoyed, or grouchy?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time",,,,,,"([cidi5_6] = 'ehhwb_70' or [cidi5_6] = 'ehhwb_71' or [cidi5_6] = 'ehhwb_72') and ([cidi5_7] = 'ehhwb_70' or [cidi5_7] = 'ehhwb_71' or [cidi5_7] = 'ehhwb_72' or [cidi5_7] = 'ehhwb_73')",,,,,,
cidi5_13,emotional_health_history_and_wellbeing,,radio,"Have muscle aches or tension?","ehhwb_70, All or almost all of the time | ehhwb_71, Most of the time | ehhwb_72, Some of the time | ehhwb_73, A little of the time | ehhwb_74, None of the time",,,,,,"([cidi5_6] = 'ehhwb_70' or [cidi5_6] = 'ehhwb_71' or [cidi5_6] = 'ehhwb_72') and ([cidi5_7] = 'ehhwb_70' or [cidi5_7] = 'ehhwb_71' or [cidi5_7] = 'ehhwb_72' or [cidi5_7] = 'ehhwb_73')",,,,,,
