field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,fall_minute_survey_on_covid19_vaccines,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine2,fall_minute_survey_on_covid19_vaccines,,descriptive,"COVID-19 Vaccine Survey",,"Start Date: 8/19/2021; End Date: 11/1/2021",,,,,,,,,,,"Launched 8/19/2021-10/28/2021 (PTSC & CE)."
cdc_covid_xx_firstdose,fall_minute_survey_on_covid19_vaccines,"Thank you for being part of the <i>All of Us</i> Research Program. We are interested in addressing one of the most important health topics of our time, COVID-19 vaccination. Help us learn more by completing this short survey. Participating in this survey may help researchers around the world better understand the impact of COVID-19 during this challenging time. This survey will take about one minute to complete.

If possible, please have your vaccination card with you as you complete the survey.",radio,"Did you receive the first dose of the COVID-19 vaccination?","COPE_A_44, Yes | COPE_A_13, No | cope_a_334, Not sure, I participated in a COVID-19 vaccination trial","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,,,,,,,
cdc_covid_xx_a_date1,fall_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 2/8/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_firstdose,fall_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your first dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_firstdose_other,fall_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_firstdose] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED
CONTROLLED_QUESTON_SUPPRESSED"
cdc_covid_xx_symptom,fall_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your first COVID-19 vaccine, have you experienced any of the following adverse reactions? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE=COPE_A_236
cdc_covid_xx_symptom_cope_350,fall_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED
CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_seconddose,fall_minute_survey_on_covid19_vaccines,,radio,"Did you receive the second dose of the COVID-19 vaccination?","COPE_A_44, Yes | COPE_A_13, No","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204' or [cdc_covid_xx_b_firstdose] = 'COPE_A_52'",,,,,,
cdc_covid_xx_a_date2,fall_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 2/8/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
