field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,family_health_history,,text,"Record ID",,,,,,,,,,,,,
familyhistory,family_health_history,,descriptive,"Family Health History",,,,,,,,,,,,,"Revised version launched 11/19/20 (PTSC) & 12/19/20 (CE). Revised version was reformatted so that there is a single listing of medical condition categories rather than a repeat according to each family member. Original version launched 5/31/18 (PTSC) and 3/9/2020 (CE)."
familyhistory_familymedicalhistoryaware,family_health_history,"Please answer each question as honestly as possible. There are no right or wrong answers to any of the questions. It is important that you answer as many questions as you can. We are looking for your own answers and not what you think your doctors, family, or friends want you to say.

Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the available choices. Some questions also let you say if you don't know an answer or would rather not answer.

This module asks you about your family's medical history, including medical conditions that your biological parents, grandparents, siblings, or children currently have or have had in the past. Understanding your family's experiences with medical issues can tell us a lot about what kinds of medical issues might be related to your genetics. Genetics has to do with traits that are passed down from generation to generation in a family.

You will be asked questions about your family. Think only of people you are related to by blood including those living or deceased.",radio,"How much do you know about illnesses or health problems for your parents, grandparents, brothers, sisters, and/or children?","FamilyMedicalHistoryAware_Alot, A lot | FamilyMedicalHistoryAware_Some, Some | FamilyMedicalHistoryAware_None, None at all",,,,,,,,,,,,
diagnosedhealthcondition_cancercondition,family_health_history,"Cancer Conditions",checkbox,"Has anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply.","CancerCondition_BladderCancer, Bladder cancer | CancerCondition_BoneCancer, Bone cancer | CancerCondition_BloodCancer, Blood or soft tissue cancer | CancerCondition_BrainCancer, Brain cancer | CancerCondition_BreastCancer, Breast cancer | CancerCondition_CervicalCancer, Cervical cancer | CancerCondition_ColonRectalCancer, Colon cancer/Rectal cancer | CancerCondition_EndocrineCancer, Endocrine cancer | CancerCondition_EndometrialCancer, Endometrial cancer | CancerCondition_EsophagealCancer, Esophageal cancer | CancerCondition_EyeCancer, Eye cancer | CancerCondition_HeadNeckCancer, Head and neck cancer (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.) | CancerCondition_KidneyCancer, Kidney cancer | CancerCondition_LungCancer, Lung cancer | CancerCondition_OvarianCancer, Ovarian cancer | CancerCondition_PancreaticCancer, Pancreatic cancer | CancerCondition_ProstateCancer, Prostate cancer | CancerCondition_SkinCancer, Skin cancer | CancerCondition_StomachCancer, Stomach cancer | CancerCondition_ThyroidCancer, Thyroid cancer | CancerCondition_OtherCancer, Other cancer | PMI_None, None of the above | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,,,,,,,"@NONEOFTHEABOVE='PMI_None,PMI_DontKnow,PMI_PreferNotToAnswer'"
cancercondition_bladdercancer_yes,family_health_history,,checkbox,"Who in your family has had bladder cancer? Select all that apply. ","MotherCancerCondition_BladderCancer, Mother | FatherCancerCondition_BladderCancer, Father | SiblingCancerCondition_BladderCancer, Sibling | DaughterCancerCondition_BladderCancer, Daughter | SonCancerCondition_BladderCancer, Son | GrandparentCancerCondition_BladderCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BladderCancer)] = '1'",,,,,,
cancercondition_bonecancer_yes,family_health_history,,checkbox,"Who in your family has had bone cancer? Select all that apply. ","MotherCancerCondition_BoneCancer, Mother | FatherCancerCondition_BoneCancer, Father | SiblingCancerCondition_BoneCancer, Sibling | DaughterCancerCondition_BoneCancer, Daughter | SonCancerCondition_BoneCancer, Son | GrandparentCancerCondition_BoneCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BoneCancer)] = '1'",,,,,,
cancercondition_bloodcancer_yes,family_health_history,,checkbox,"Who in your family has had blood or soft tissue cancer? Select all that apply. ","MotherCancerCondition_BloodCancer, Mother | FatherCancerCondition_BloodCancer, Father | SiblingCancerCondition_BloodCancer, Sibling | DaughterCancerCondition_BloodCancer, Daughter | SonCancerCondition_BloodCancer, Son | GrandparentCancerCondition_BloodCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BloodCancer)] = '1'",,,,,,
cancercondition_braincancer_yes,family_health_history,,checkbox,"Who in your family has had brain cancer? Select all that apply. ","MotherCancerCondition_BrainCancer, Mother | FatherCancerCondition_BrainCancer, Father | SiblingCancerCondition_BrainCancer, Sibling | DaughterCancerCondition_BrainCancer, Daughter | SonCancerCondition_BrainCancer, Son | GrandparentCancerCondition_BrainCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BrainCancer)] = '1'",,,,,,
cancercondition_breastcancer_yes,family_health_history,,checkbox,"Who in your family has had breast cancer? Select all that apply. ","MotherCancerCondition_BreastCancer, Mother | FatherCancerCondition_BreastCancer, Father | SiblingCancerCondition_BreastCancer, Sibling | DaughterCancerCondition_BreastCancer, Daughter | SonCancerCondition_BreastCancer, Son | GrandparentCancerCondition_BreastCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BreastCancer)] = '1'",,,,,,
cancercondition_cervicalcancer_yes,family_health_history,,checkbox,"Who in your family has had cervical cancer? Select all that apply. ","MotherCancerCondition_CervicalCancer, Mother | SiblingCancerCondition_CervicalCancer, Sibling | DaughterCancerCondition_CervicalCancer, Daughter | GrandparentCancerCondition_CervicalCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_CervicalCancer)] = '1'",,,,,,
cancercondition_colonrectalcancer_yes,family_health_history,,checkbox,"Who in your family has had colon cancer/rectal cancer? Select all that apply. ","MotherCancerCondition_ColonRectalCancer, Mother | FatherCancerCondition_ColonRectalCancer, Father | SiblingCancerCondition_ColonRectalCancer, Sibling | DaughterCancerCondition_ColonRectalCancer, Daughter | SonCancerCondition_ColonRectalCancer, Son | GrandparentCancerCondition_ColonRectalCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_ColonRectalCancer)] = '1'",,,,,,
cancercondition_endocrinecancer_yes,family_health_history,,checkbox,"Who in your family has had endocrine cancer? Select all that apply. ","MotherCancerCondition_EndocrineCancer, Mother | FatherCancerCondition_EndocrineCancer, Father | SiblingCancerCondition_EndocrineCancer, Sibling | DaughterCancerCondition_EndocrineCancer, Daughter | SonCancerCondition_EndocrineCancer, Son | GrandparentCancerCondition_EndocrineCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndocrineCancer)] = '1'",,,,,,
cancercondition_endometrialcancer_yes,family_health_history,,checkbox,"Who in your family has had endometrial cancer? Select all that apply. ","MotherCancerCondition_EndometrialCancer, Mother | SiblingCancerCondition_EndometrialCancer, Sibling | DaughterCancerCondition_EndometrialCancer, Daughter | GrandparentCancerCondition_EndometrialCancer, Grandparent",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndometrialCancer)] = '1'",,,,,,
