field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,healthcare_access_and_utilization,,text,"Record ID",,,,,,,,,LV,,,,
healthcareaccess,healthcare_access_and_utilization,,descriptive,"Health Care Access & Utilization",,,,,,,,,,,,,"Launched 5/31/2018 (PTSC) and 3/9/2020 (CE)."
study_information,healthcare_access_and_utilization,,descriptive,"This survey asks questions about your access and use of health care. This is to better understand how they may affect health. To ensure your privacy, your name will be separated from your answers before they are shared with researchers. 

It will take about 10-15 minutes to answer these questions. Please answer each question as honestly as possible. There are no right or wrong answers to any of the questions. It is important that you answer as many questions as you can. We are looking for your own answers, not what you think your doctors, family, or friends want you to say.

Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. ",,,,,,,,,,,,,
insurance_insuranceaccepted,healthcare_access_and_utilization,,radio,"DURING THE PAST 12 MONTHS, were you told by a health care provider or doctor's office that they did not accept your health care coverage?","InsuranceAccepted_Yes, Yes | InsuranceAccepted_No, No | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,,,LV,,,,
insurance_healthcarecoverage,healthcare_access_and_utilization,,radio,"In regard to your health insurance or health care coverage, how does it compare to a year ago? Is it better, worse, or about the same?","HealthcareCoverage_Better, Better | HealthcareCoverage_Worse, Worse | HealthcareCoverage_AboutTheSame, About the Same | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,,,LV,,,,
healthadvice_placeforhealthadvice,healthcare_access_and_utilization,,radio,"Is there a place that you USUALLY go when you are sick or need advice about your health?","PlaceforHealthAdvice_Yes, Yes | PlaceforHealthAdvice_No, There is NO place | PlaceforHealthAdvice_MoreThanOne, There is MORE THAN ONE place | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,,,LV,,,,
healthadvice_whatkindofplace,healthcare_access_and_utilization,,radio,"What kind of place do you go to most often?","WhatKindOfPlace_DoctorsOffice, Doctor's office, clinic, or health center | WhatKindOfPlace_UrgentCare, Urgent care or minute clinic | WhatKindOfPlace_EmergencyRoom, Hospital emergency room | WhatKindOfPlace_SomeOtherPlace, Some other place | WhatKindOfPlace_NoOnePlaceMostOften, Don't go to one place most often | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,"[healthadvice_placeforhealthadvice] = 'PlaceforHealthAdvice_Yes' or [healthadvice_placeforhealthadvice] = 'PlaceforHealthAdvice_MoreThanOne' or [healthadvice_placeforhealthadvice] = 'PMI_Dontknow'",,LV,,,,
healthadvice_spokentoprofessional,healthcare_access_and_utilization,,radio,"About how long has it been since you last saw or talked to a doctor or other health care provider about your own health?","SpokenToProfessional_Never, Never | SpokenToProfessional_6moOrLess, 6 months or less | SpokenToProfessional_6MoTo1YearAgo, More than 6 months, but not more than 1 year ago | SpokenToProfessional_1To2YearsAgo, More than 1 year, but not more than 2 years ago | SpokenToProfessional_2To5YearsAgo, More than 2 years, but not more than 5 years ago | SpokenToProfessional_MoreThan5YearsAgo, More than 5 years ago | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,,,LV,,,,
healthadvice_spokentogeneraldoctor,healthcare_access_and_utilization,"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following doctors or health care providers about your own health?",radio,"A general doctor who treats a variety of illnesses (a physician in general practice, primary care, family medicine, or internal medicine)?

Help text: A provider who sees adult patients for wellness exams and the treatment of diseases","SpokenToGeneralDoctor_Yes, Yes | SpokenToGeneralDoctor_No, No | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,"[healthadvice_spokentoprofessional] = 'SpokenToProfessional_6moOrLess' or [healthadvice_spokentoprofessional] = 'SpokenToProfessional_6MoTo1YearAgo' or [healthadvice_spokentoprofessional] = 'PMI_Dontknow'",,LV,,,,
healthadvice_generaldoctorvisits,healthcare_access_and_utilization,,radio,"What is the total number of general doctor visits you made in the last 12 months?","GeneralDoctorVisits_1, 1 | GeneralDoctorVisits_2to3, 2-3 | GeneralDoctorVisits_4to5, 4-5 | GeneralDoctorVisits_6to7, 6-7 | GeneralDoctorVisits_8to9, 8-9 | GeneralDoctorVisits_10to12, 10-12 | GeneralDoctorVisits_13to15, 13-15 | GeneralDoctorVisits_16orMore, 16 or more | PMI_Dontknow, Don't know","Start Date: 5/31/2018 EXCEPT PMI_Dontknow: 5/30/2017",,,,,"[healthadvice_spokentogeneraldoctor] = 'SpokenToGeneralDoctor_Yes'",,LV,,,,
