field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,lifestyle,,text,"Record ID",,,,,,,,,RV,,,,
lifestyle,lifestyle,,descriptive,Lifestyle,,"Start Date: 5/30/2017",,,,,,,,,,,"Launched 5/30/2017 (PTSC) & 12/10/2019 (CE)."
lifestyle_intro,lifestyle,,descriptive,"This survey asks questions about your use of tobacco, alcohol, and drugs. This is to better understand how these things may affect your overall health. Your privacy is very important to us. Your name will be separated from your answers before they are shared with researchers.

It takes about 5-10 minutes to answer these questions. Please answer each question as honestly as possible. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you have to spend a long time over each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given.  ",,,,,,,,,,,,,
smoking_100cigslifetime,lifestyle,,radio,"Have you smoked at least 100 cigarettes in your entire life? (There are 20 cigarettes in a pack.)","100CigsLifetime_Yes, Yes | 100CigsLifetime_No, No | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer","Start Date: 5/30/2017",,,,,,,LV,,,,
smoking_smokefrequency,lifestyle,,radio,"Do you now smoke cigarettes every day, some days, or not at all?","SmokeFrequency_EveryDay, Every day | SmokeFrequency_SomeDays, Some days | SmokeFrequency_NotAtAll, Not at all | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer","Start Date: 5/30/2017",,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
smoking_dailysmokestartingage,lifestyle,,radio,"How old were you when you first started regular cigarette smoking?","smoking_dailysmokestartingage_enterage, Enter response | Smoking_DailySmokeStartingAgeDontKnow, Don't know | Smoking_DailySmokeStartingAgePreferNotToAnswer, Prefer not to answer","Start Date: 5/30/2017",,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
smoking_dailysmokestartingagenumber,lifestyle,,text,Age:,,,integer,1,99,,"[smoking_dailysmokestartingage] = 'smoking_dailysmokestartingage_enterage'",,LV,,,,smoking_dailysmokestartingagenumber=smoking_dailysmokestartingage
smoking_seriousquitattempt,lifestyle,,radio,"In the past, have you ever made a serious attempt to quit smoking? That is, have you stopped smoking for at least one day or longer because you were trying to quit?","SeriousQuitAttempt_AttemptQuitSmoking, Yes | SeriousQuitAttempt_NoAttemptQuitSmoking, No | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer","Start Date: 5/30/2017",,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
attemptquitsmoking_completelyquit,lifestyle,,radio,"If you have completely stopped smoking cigarettes, how old were you when you stopped?","attemptquitsmoking_completelyquitage_enterage, Enter response | AttemptQuitSmoking_CompletelyQuitAgeDontKnow, Don't know | AttemptQuitSmoking_CompletelyQuitAgePreferNotToAnswer, Prefer not to answer","Start Date: 5/30/2017",,,,,"[smoking_seriousquitattempt] = 'SeriousQuitAttempt_AttemptQuitSmoking'",,LV,,,,AttemptQuitSmoking_CompletelyQuitAgePreferNotToAnswer=AttemptQuitSmoking_CompletelyQuitAgePreferNo
attemptquitsmoking_completelyquitage,lifestyle,,text,"Age when you stopped smoking:",,"Start Date: 5/30/2017",integer,1,99,,"[attemptquitsmoking_completelyquit] = 'attemptquitsmoking_completelyquitage'",,LV,,,,
