field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,overall_health,,text,"Record ID",,,,,,,,,LV,,,,
overallhealth,overall_health,,descriptive,"Overall Health",,"Start Date: 5/30/2017",,,,,,,,,,,"Launched 5/30/2017 (PTSC) & 12/10/2019 (CE)."
overallhealth_intro,overall_health,,descriptive,"This survey asks questions about your overall health. Your privacy is very important to us. Your answers will only be shared with approved researchers after we have removed your name.

It takes about 5-10 minutes to answer these questions. Please answer each question as honestly as possible. There are no right or wrong answers to any of the questions. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you have to spend a long time over each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given.
",,,,,,,,,,,,,
overallhealth_medicalformconfidence,overall_health,,radio,"How confident are you filling out medical forms by yourself? ","MedicalFormConfidence_Extremely, Extremely | MedicalFormConfidence_QuiteABit, Quite a bit | MedicalFormConfidence_Somewhat, Somewhat | MedicalFormConfidence_ALittleBit, A little bit | MedicalFormConfidence_NotAtAll, Not at all","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_healthmaterialassistance,overall_health,,radio,"How often do you have someone help you read health-related materials?","HealthMaterialAssistance_Always, Always | HealthMaterialAssistance_Often, Often | HealthMaterialAssistance_Sometimes, Sometimes | HealthMaterialAssistance_Occasionally, Occasionally | HealthMaterialAssistance_Never, Never","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_difficultunderstandinfo,overall_health,,radio,"How often do you have problems learning about your medical condition because of difficulty understanding written information?","DifficultUnderstandInfo_Always, Always | DifficultUnderstandInfo_Often, Often | DifficultUnderstandInfo_Sometimes, Sometimes | DifficultUnderstandInfo_Occasionally, Occasionally | DifficultUnderstandInfo_Never, Never","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_generalhealth,overall_health,"The next 10 questions ask you how you feel about your health and daily activities.",radio,"In general, would you say your health is:","GeneralHealth_Excellent, Excellent | GeneralHealth_VeryGood, Very Good | GeneralHealth_Good, Good | GeneralHealth_Fair, Fair | GeneralHealth_Poor, Poor","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_generalquality,overall_health,,radio,"In general, would you say your quality of life is: ","GeneralQuality_Excellent, Excellent | GeneralQuality_VeryGood, Very Good | GeneralQuality_Good, Good | GeneralQuality_Fair, Fair | GeneralQuality_Poor, Poor","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_generalphysicalhealth,overall_health,,radio,"In general, how would you rate your physical health? ","GeneralPhysicalHealth_Excellent, Excellent | GeneralPhysicalHealth_VeryGood, Very Good | GeneralPhysicalHealth_Good, Good | GeneralPhysicalHealth_Fair, Fair | GeneralPhysicalHealth_Poor, Poor","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_generalmentalhealth,overall_health,,radio,"In general, how would you rate your mental health, including your mood and your ability to think? ","GeneralMentalHealth_Excellent, Excellent | GeneralMentalHealth_VeryGood, Very Good | GeneralMentalHealth_Good, Good | GeneralMentalHealth_Fair, Fair | GeneralMentalHealth_Poor, Poor","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_socialsatisfaction,overall_health,,radio,"In general, how would you rate your satisfaction with your social activities and relationships?","SocialSatisfaction_Excellent, Excellent | SocialSatisfaction_VeryGood, Very Good | SocialSatisfaction_Good, Good | SocialSatisfaction_Fair, Fair | SocialSatisfaction_Poor, Poor","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_everydayactivities,overall_health,,radio,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?","EverydayActivities_Completely, Completely | EverydayActivities_Mostly, Mostly | EverydayActivities_Moderately, Moderately | EverydayActivities_ALittle, A little | EverydayActivities_NotAtAll, Not at all","Start Date: 5/30/2017",,,,,,,LV,,,,
overallhealth_averagepain7days,overall_health,,slider,"In the past 7 days, how would you rate your pain on average? ","0 (No pain) |  | 10 (Worst pain imaginable)","Start Date: 5/30/2017",number,,,,,,RH,,,,
overallhealth_averagefatigue7days,overall_health,,radio,"In the past 7 days, how would you rate your fatigue?","AverageFatigue7Days_None, None | AverageFatigue7Days_Mild, Mild | AverageFatigue7Days_Moderate, Moderate | AverageFatigue7Days_Severe, Severe | AverageFatigue7Days_VerySevere, Very Severe","Start Date: 5/30/2017",,,,,,,LV,,,,
