field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,personal_and_family_health_history,,text,"Record ID",,,,,,,,,,,,,
personalfamilyhistory,personal_and_family_health_history,,descriptive,"Personal and Family Health History",,"Start Date: 11/1/2021",,,,,,,,,,,"Launch Date: 11/1/2021 (PTSC and CDE)"
familyhistory_familymedicalhistoryaware,personal_and_family_health_history,"Please answer each question as honestly as possible. There are no right or wrong answers to any of the questions. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.

Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the available choices. Some questions also let you say if you don't know an answer or would rather not answer.

This module asks you about your personal and family's medical history, including medical conditions that you, your biological parents, grandparents, siblings, or children currently have or had in the past. Understanding your and your family's experiences with medical issues can tell us a lot about what kinds of medical issues might be related to your genetics. Genetics has to do with traits that are passed down from generation to generation in a family.

You will be asked questions about you and your family. In terms of your family, think only of people you are related to by blood including those living or deceased. ",radio,"How much do you know about illnesses or health problems for your parents, grandparents, brothers, sisters, and/or children?","FamilyMedicalHistoryAware_Alot, A lot | FamilyMedicalHistoryAware_Some, Some | FamilyMedicalHistoryAware_None, None at all","Start Date: 5/31/2018",,,,,,,,,,,
diagnosedhealthcondition_cancercondition,personal_and_family_health_history,"Cancer Conditions",checkbox,"Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply.","CancerCondition_BladderCancer, Bladder cancer | CancerCondition_BloodCancer, Blood or soft tissue cancer | CancerCondition_BoneCancer, Bone cancer | CancerCondition_BrainCancer, Brain cancer | CancerCondition_BreastCancer, Breast cancer | CancerCondition_CervicalCancer, Cervical cancer | CancerCondition_ColonRectalCancer, Colon cancer/Rectal cancer | CancerCondition_EndocrineCancer, Endocrine cancer | CancerCondition_EndometrialCancer, Endometrial cancer | CancerCondition_EsophagealCancer, Esophageal cancer | CancerCondition_EyeCancer, Eye cancer | CancerCondition_HeadNeckCancer, Head and neck cancer (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.) | CancerCondition_KidneyCancer, Kidney cancer | CancerCondition_LungCancer, Lung cancer | CancerCondition_OvarianCancer, Ovarian cancer | CancerCondition_PancreaticCancer, Pancreatic cancer | CancerCondition_ProstateCancer, Prostate cancer | CancerCondition_SkinCancer, Skin cancer | CancerCondition_StomachCancer, Stomach cancer | CancerCondition_ThyroidCancer, Thyroid cancer | CancerCondition_OtherCancer, Other cancer | PMI_None, None of the above | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer","Start Date: 5/31/2018",,,,,,,,,,,"@NONEOFTHEABOVE='PMI_None,PMI_DontKnow,PMI_PreferNotToAnswer'"
cancercondition_bladdercancer_yes,personal_and_family_health_history,,checkbox,"Including yourself, who in your family has had bladder cancer? Select all that apply.","CancerConditions_BladderCancer, Self | MotherCancerCondition_BladderCancer, Mother | FatherCancerCondition_BladderCancer, Father | SiblingCancerCondition_BladderCancer, Sibling | DaughterCancerCondition_BladderCancer, Daughter | SonCancerCondition_BladderCancer, Son | GrandparentCancerCondition_BladderCancer, Grandparent","cancercondition_xx_yes = Start Date: 11/19/2020, all response codes = Start Date: 5/31/2018",,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BladderCancer)] = '1'",,,,,,
cancer_bladdercancercurrently,personal_and_family_health_history,,radio,"Are you still seeing a doctor or health care provider for bladder cancer?","BladderCancerCurrently_Yes, Yes | BladderCancerCurrently_No, No","Start Date: 10/12/2018",,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancer_howoldwereyoubladdercancer,personal_and_family_health_history,,radio,"About how old were you when you were first told you had bladder cancer?","HowOldWereYouBladderCancer_Child, Child (0-11) | HowOldWereYouBladderCancer_Adolescent, Adolescent (12-17) | HowOldWereYouBladderCancer_Adult, Adult (18-64) | HowOldWereYouBladderCancer_OlderAdult, Older adult (65-74) | HowOldWereYouBladderCancer_Elderly, Elderly (75+)","Start Date: 10/12/2018",,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancer_rxmedsforbladdercancer,personal_and_family_health_history,,radio,"Are you currently prescribed medications and/or receiving treatment for bladder cancer?","RxMedsforBladderCancer_Yes, Yes | RxMedsforBladderCancer_No, No","Start Date: 10/12/2018",,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancercondition_bloodcancer_yes,personal_and_family_health_history,,checkbox,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply.","CancerConditions_BloodCancer, Self | MotherCancerCondition_BloodCancer, Mother | FatherCancerCondition_BloodCancer, Father | SiblingCancerCondition_BloodCancer, Sibling | DaughterCancerCondition_BloodCancer, Daughter | SonCancerCondition_BloodCancer, Son | GrandparentCancerCondition_BloodCancer, Grandparent","cancercondition_xx_yes = Start Date: 11/19/2020, all response codes = Start Date: 5/31/2018",,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BloodCancer)] = '1'",,,,,,
cancer_bloodcancercurrently,personal_and_family_health_history,,radio,"Are you still seeing a doctor or health care provider for blood or soft tissue cancer?","BloodCancerCurrently_Yes, Yes | BloodCancerCurrently_No, No","Start Date: 10/12/2018",,,,,"[cancercondition_bloodcancer_yes(CancerConditions_BloodCancer)] = '1'",,,,,,
