field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,personal_medical_history,,text,"Record ID",,,,,,,,,,,,,
personalmedicalhistory,personal_medical_history,,descriptive,"Personal Medical History",,"Start Date: 10/12/2018",,,,,,,,,,,"Launched 10/12/2018 (PTSC) & 3/9/2020 (CE), Retired on 11/1/2021"
circulatory_circulatoryconditions,personal_medical_history,"This survey asks questions about your Personal Medical History. This is to better understand how it may affect health. To ensure your privacy, your name will be separated from your answers before they are shared with researchers.

It will take about 10-15 minutes to answer these questions. Please answer each question as honestly as possible. Some of the questions may be sensitive. You can choose not to answer. There are no right or wrong answers to any of the questions. It is important that you answer as many questions as you can. We are looking for your own answers, not what you think your doctors, family, or friends want you to say.

Do not feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you are not sure how to answer a question, choose the best answer from the options given. If you are unsure of what a condition is, hover over the 'i' icon to its right for more information.<br><br>Heart and Blood Conditions",checkbox,"Has a doctor or health care provider ever told you that you have...? Select all that apply. ","CirculatoryConditions_Anemia, Anemia | CirculatoryConditions_AtrialFibrillation, Atrial fibrillation (Afib) or Atrial flutter | CirculatoryConditions_BleedingDisorder, Bleeding disorder | CirculatoryConditions_CongestiveHeartFailure, Congestive heart failure | CirculatoryConditions_CoronaryArtery, Coronary artery/coronary heart disease | CirculatoryConditions_HeartAttack, Heart attack | CirculatoryConditions_HeartValveDisease, Heart valve disease | CirculatoryConditions_HighCholesterol, High cholesterol | CirculatoryConditions_Hypertension, Hypertension (high blood pressure) | CirculatoryConditions_PeripheralVascularDisease, Peripheral vascular disease | CirculatoryConditions_PulmonaryEmbolism, Pulmonary embolism or deep vein thrombosis | CirculatoryConditions_SickleCellDisease, Sickle cell disease | CirculatoryConditions_Stroke, Stroke | CirculatoryConditions_TransientIschemicAttack, Transient ischemic attacks (TIAs or mini-strokes) | CirculatoryConditions_OtherHeartorBloodCondition, Other heart or blood condition | CirculatoryConditions_NoHeartorBloodCondition, I have/have had no heart or blood condition","Start Date: 10/12/2018, End Date for circulatoryconditions_noheartorbloodcondition AND circulatory_circulatoryconditions: 11/1/2021",,,,,,,,,,,@NONEOFTHEABOVE=CirculatoryConditions_NoHeartorBloodCondition
circulatory_anemiacurrently,personal_medical_history,,radio,"Are you still seeing a doctor or health care provider for anemia?","AnemiaCurrently_Yes, Yes | AnemiaCurrently_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_howoldwereyouanemia,personal_medical_history,,radio,"About how old were you when you were first told you had anemia?","HowOldWereYouAnemia_Child, Child (0-11) | HowOldWereYouAnemia_Adolescent, Adolescent (12-17) | HowOldWereYouAnemia_Adult, Adult (18-64) | HowOldWereYouAnemia_OlderAdult, Older adult (65-74) | HowOldWereYouAnemia_Elderly, Elderly (75+)","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_rxmedsforanemia,personal_medical_history,,radio,"Are you currently prescribed medications and/or receiving treatment for anemia?","RxMedsforAnemia_Yes, Yes | RxMedsforAnemia_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_atrialfibrillationcurrently,personal_medical_history,,radio,"Are you still seeing a doctor or health care provider for atrial fibrillation (Afib) or atrial flutter?","AtrialFibrillationCurrently_Yes, Yes | AtrialFibrillationCurrently_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_howoldwereyouatrialfibrillation,personal_medical_history,,radio,"About how old were you when you were first told you had atrial fibrillation (Afib) or atrial flutter?","HowOldWereYouAtrialFibrillation_Child, Child (0-11) | HowOldWereYouAtrialFibrillation_Adolescent, Adolescent (12-17) | HowOldWereYouAtrialFibrillation_Adult, Adult (18-64) | HowOldWereYouAtrialFibrillation_OlderAdult, Older adult (65-74) | HowOldWereYouAtrialFibrillation_Elderly, Elderly (75+)","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_rxmedsforatrialfibrillation,personal_medical_history,,radio,"Are you currently prescribed medications and/or receiving treatment for atrial fibrillation (Afib) or atrial flutter?","RxMedsforAtrialFibrillation_Yes, Yes | RxMedsforAtrialFibrillation_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_bleedingdisordercurrently,personal_medical_history,,radio,"Are you still seeing a doctor or health care provider for a bleeding disorder?","BleedingDisorderCurrently_Yes, Yes | BleedingDisorderCurrently_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_BleedingDisorder)] = '1'",,,,,,
circulatory_howoldwereyoubleedingdisorder,personal_medical_history,,radio,"About how old were you when you were first told you had a bleeding disorder?","HowOldWereYouBleedingDisorder_Child, Child (0-11) | HowOldWereYouBleedingDisorder_Adolescent, Adolescent (12-17) | HowOldWereYouBleedingDisorder_Adult, Adult (18-64) | HowOldWereYouBleedingDisorder_OlderAdult, Older adult (65-74) | HowOldWereYouBleedingDisorder_Elderly, Elderly (75+)","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_BleedingDisorder)] = '1'",,,,,,
circulatory_rxmedsforbleedingdisorder,personal_medical_history,,radio,"Are you currently prescribed medications and/or receiving treatment for a bleeding disorder?","RxMedsforBleedingDisorder_Yes, Yes | RxMedsforBleedingDisorder_No, No","Start Date: 10/12/2018",,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_BleedingDisorder)] = '1'",,,,,,
