field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,social_determinants_of_health_english,,text,"Record ID",,,,,,,,,,,,,"In development as of 9/29/2021"
sdoh,social_determinants_of_health_english,,descriptive,"Social Determinants of Health",,"Start Date: 11/01/2021",,,,,,,,,,,"Launched 11/21/2021 (PTSC & CE)."
sdoh_intro,social_determinants_of_health_english,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you (again) for being a part of the <em> All of Us </em> Research Program. Many things can make us sick or keep us healthy. Where you were born or where you live, go to school, or work can affect your health. These are sometimes referred to as social factors, or the ""social determinants"", of health. </span><span style=""font-weight: normal;"">Help us learn more by completing this survey about your neighborhood, social life, stress, and feelings about your everyday life. This survey will take less than 10 minutes to complete. </span><br /><br /><span style=""font-weight: normal;"">Please answer each question as honestly as possible. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.</span><br /><br /><span style=""font-weight: normal;"">Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some of the questions may be sensitive. You can choose not to answer.</span></p></div>",,"Start Date: 11/01/2021",,,,,,,,,,,
scns_1,social_determinants_of_health_english,"The neighborhood where you live may play a role in a variety of health outcomes. Sharing details about your neighborhood may help researchers better understand the relationship between a person's neighborhood and their overall well-being.

The following statements describe what your neighborhood might be like. Tell us how much you agree or disagree.",radio,"People around here are willing to help their neighbors.","SDOH_1, Strongly agree | SDOH_2, Agree | SDOH_3, Neutral (neither agree nor disagree) | SDOH_4, Disagree | SDOH_5, Strongly disagree","Start Date: 11/01/2021",,,,,,,,,,,
scns_2,social_determinants_of_health_english,,radio,"People in my neighborhood generally get along with each other.","SDOH_1, Strongly agree | SDOH_2, Agree | SDOH_3, Neutral (neither agree nor disagree) | SDOH_4, Disagree | SDOH_5, Strongly disagree","Start Date: 11/01/2021",,,,,,,,,,,
scns_3,social_determinants_of_health_english,,radio,"People in my neighborhood can be trusted.","SDOH_1, Strongly agree | SDOH_2, Agree | SDOH_3, Neutral (neither agree nor disagree) | SDOH_4, Disagree | SDOH_5, Strongly disagree","Start Date: 11/01/2021",,,,,,,,,,,
scns_4,social_determinants_of_health_english,,radio,"People in my neighborhood share the same values.","SDOH_1, Strongly agree | SDOH_2, Agree | SDOH_3, Neutral (neither agree nor disagree) | SDOH_4, Disagree | SDOH_5, Strongly disagree","Start Date: 11/01/2021",,,,,,,,,,,
nds_1,social_determinants_of_health_english,,radio,"There is a lot of graffiti in my neighborhood.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
nds_2,social_determinants_of_health_english,,radio,"My neighborhood is noisy.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
nds_3,social_determinants_of_health_english,,radio,"Vandalism is common in my neighborhood.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
nds_4,social_determinants_of_health_english,,radio,"There are lot of abandoned buildings in my neighborhood.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
nds_5,social_determinants_of_health_english,,radio,"My neighborhood is clean.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
nds_6,social_determinants_of_health_english,,radio,"People in my neighborhood take good care of their houses and apartments.","SDOH_5, Strongly disagree | SDOH_4, Disagree | SDOH_2, Agree | SDOH_1, Strongly agree","Start Date: 11/01/2021",,,,,,,,,,,
