field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,wear_consent_ptsc,,text,"Record ID",,,,,,,,,,,,,
wear_consent_ptsc,wear_consent_ptsc,,descriptive,"WEAR Consent",,,,,,,,,,,,,
havesmartphone,wear_consent_ptsc,,radio,"Do you have access to a smartphone or tablet?","PMI_Yes, Yes | PMI_No, No",,,,,,,,,,,,
receivesms,wear_consent_ptsc,,radio,"Are you willing and able to receive SMS messages from <i>All of Us</i>?","PMI_Yes, Yes | PMI_No, No",,,,,,,,,,,,
haveaddress,wear_consent_ptsc,,radio,"Do have a mailing address at which you can receive a package from Fitbit?","PMI_Yes, Yes | PMI_No, No",,,,,,,,,,,,
resultsconsent_wear,wear_consent_ptsc,,radio,"Do you consent to participate in the WEAR study?","WEAR_Yes, Yes | WEAR_No, No",,,,,,,,,,,,
wearconsent_signature,wear_consent_ptsc,,file,Signature,,,signature,,,,,,,,,,
wearconsent_todaysdate,wear_consent_ptsc,,text,Date,,,datetime_mdy,,,,,,,,,,
resultsconsent_helpmewithconsent,wear_consent_ptsc,,checkbox,,"HelpMeWithConsent_Yes, Someone from <i>All of Us</i> helped me with completing this consent process.",,,,,,,,,,,,
helpmewithconsent_name,wear_consent_ptsc,,text,"Please have the person that helped you type their name below.",,,,,,,"[resultsconsent_helpmewithconsent(HelpMeWithConsent_Yes)] = '1'",,,,,,
email_help_consent,wear_consent_ptsc,,checkbox,,"WEARConsent_EmailCopy_Yes, Email a copy to me",,,,,,,,,,,,
