field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,winter_minute_survey_on_covid19_vaccines,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine3,winter_minute_survey_on_covid19_vaccines,,descriptive,"COVID-19 Vaccine Survey",,"Start Date: 11/1/2021; End Date: 1/20/2022",,,,,,,,,,,
cdc_covid_xx_firstdose,winter_minute_survey_on_covid19_vaccines,"<div class=""rich-text-field-label""><p>Thank you for being part of the <em>All of Us</em> Research Program. We are interested in addressing one of the most important health topics of our time, COVID-19 vaccination. Help us learn more by completing this short survey. Participating in this survey may help researchers around the world better understand the impact of COVID-19 during this challenging time. This survey will take about two minutes to complete. </p> <p>If possible, please have your vaccination card with you as you complete the survey.<br /><br />We will ask you about your vaccination experiences. We may also ask you about additional doses of the vaccine. Additional doses include both ""booster doses"" and ""additional full doses"". <span style=""font-weight: normal;""><strong>To help you better understand and answer these questions, please read the definitions below.</strong></span></p> <ul> <li>Booster dose: refers to another dose of a vaccine that is given to people who built enough protection after full vaccination (two weeks after receiving 1 dose of J&J or two weeks after receiving the 2-dose mRNA COVID-19 vaccine series). Boosters may be recommended over the coming months to maintain protection against COVID-19.</li> <li>Additional full dose: refers to additional doses of a vaccine that are given to people with moderately to severely weakened immune systems.</li> </ul></div>",radio,"Did you receive the first dose of the COVID-19 vaccination?","COPE_A_44, Yes | COPE_A_13, No | cope_a_334, Not sure, I participated in a COVID-19 vaccination trial","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,,,,,,,
cdc_covid_xx_a_date1,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 2/8/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_firstdose,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your first dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_firstdose_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_firstdose] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE=COPE_A_236
cdc_covid_xx_symptom_cope_350,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_seconddose,winter_minute_survey_on_covid19_vaccines,,radio,"Did you receive the second dose of the COVID-19 vaccination?","COPE_A_44, Yes | COPE_A_13, No","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204' or [cdc_covid_xx_b_firstdose] = 'COPE_A_52'",,,,,,
cdc_covid_xx_a_date2,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 2/8/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_seconddose,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your second dose?","cope_a_335, AstraZeneca | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_seconddose_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 6/10/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_seconddose] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
