field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,behavioral_health_and_personality,,text,"Record ID",,,,,,,,,,,,,
bhp,behavioral_health_and_personality,,descriptive,"Salud conductual y personalidad",,,,,,,,,,,,,
bhp_intro,behavioral_health_and_personality,,descriptive,"Las siguientes preguntas son sobre su salud conductual y personalidad. Participar en esta encuesta nos ayudará a comprender los problemas de la conducta y cómo afectan la salud en general. Completar esta encuesta le llevará aproximadamente 5 minutos. Si lo desea, al completar esta encuesta tendrá la opción de recibir los resultados individuales sobre su personalidad. El informe se basa en las respuestas a todas las preguntas de la sección de rasgos de personalidad.

Responda cada pregunta de la manera más honesta posible.  Estamos buscando sus propias respuestas y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomarse mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Algunas preguntas le permiten decir que no sabe la respuesta o que prefiere no responder. Algunas de estas preguntas podrían ser delicadas. Puede elegir no responder ninguna pregunta. 
",,,,,,,,,,,,,
attention_focus,behavioral_health_and_personality,,descriptive,"Atención y concentración

Cada persona tiene una capacidad diferente para prestar atención y hacer las cosas. Estas capacidades pueden cambiar con el tiempo. A veces, incluso pueden cambiar en el transcurso de un día. Responder a estas preguntas puede ayudar a los investigadores científicos a aprender más sobre el cerebro y la atención. 

Durante los últimos 6 meses,
",,,,,,,,,,,,,
asrs_1,behavioral_health_and_personality,,radio,"¿Cuántas veces le ha costado finalizar los últimos detalles de un proyecto, una vez que ha terminado con las partes más difíciles?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo",,,,,,,,,,,,
asrs_2,behavioral_health_and_personality,,radio,"¿Qué tan seguido le cuesta poner las cosas en orden cuando tiene que hacer una tarea que requiere organización?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo",,,,,,,,,,,,
asrs_3,behavioral_health_and_personality,,radio,"¿Qué tan seguido tiene problemas para recordar citas u obligaciones?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo","Obligaciones: Deberes, responsabilidades o compromisos.",,,,,,,,,,,
asrs_4,behavioral_health_and_personality,,radio,"Cuando tiene algo que hacer que requiere pensar mucho, ¿qué tan seguido evita o retrasa empezarlo?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo",,,,,,,,,,,,
asrs_5,behavioral_health_and_personality,,radio,"¿Qué tan seguido se siente inquieto o mueve mucho las manos o los pies cuando tiene que permanecer sentado durante mucho tiempo?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo",,,,,,,,,,,,
asrs_6,behavioral_health_and_personality,,radio,"¿Qué tan seguido se siente demasiado activo y que tiene que hacer cosas, como si lo impulsara un motor?","bhp_61, Nunca | bhp_89, Rara vez | bhp_90, A veces | bhp_91, A menudo | bhp_92, Muy a menudo",,,,,,,,,,,,
mood_energy,behavioral_health_and_personality,,descriptive,"Cambios de humor, energía y actividad

Las personas suelen experimentar cambios en su estado de ánimo o en sus niveles de energía. Los cambios inusuales o de larga duración en el estado de ánimo pueden afectar al bienestar físico y mental general. Compartir detalles sobre sus experiencias con su estado de ánimo podría ayudar a los investigadores científicos a descubrir nuevas formas de tratar las condiciones relacionadas con el estado de ánimo en el futuro. Las siguientes preguntas son sobre estados de ánimo inusuales que pudo haber tenido.",,,,,,,,,,,,,
mhqukb_43,behavioral_health_and_personality,,radio,"¿Alguna vez ha tenido un período de tiempo que duró varios días o más en el que se sintió tan bien, ""con mucha energía"", ""emocionado"", ""acelerado"" o ""hiperactivo"", tanto que otras personas pensaron que no era su estado de ánimo normal o se sintió tan hiperactivo que se metió en problemas?","bhp_6, Sí | bhp_7, No | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,,,,,,,
mhqukb_44,behavioral_health_and_personality,,radio,"¿Alguna vez ha tenido un período de tiempo en el que estaba tan irritable que les gritó a personas o comenzó peleas o discusiones?","bhp_6, Sí | bhp_7, No | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder","Irritable: Enojarse o perder la calma con facilidad.",,,,,,,,,,,
mhqukb_45,behavioral_health_and_personality,,checkbox,"Intente recordar un periodo en el que se encontraba en un estado ""alterado"" o ""irritable"" y elija todas las opciones aplicables:","bhp_75, Estaba más activo(a) de lo habitual | bhp_76, Estaba hablando más que de costumbre | bhp_77, Necesitaba dormir menos de lo habitual | bhp_78, Era más creativo(a) o tenía más ideas de lo habitual | bhp_79, Estaba más inquieto(a) de lo normal | bhp_80, Tenía más confianza de lo habitual | bhp_81, Mis pensamientos estaban acelerados | bhp_82, Me distraía fácilmente | pmi_none, Ninguna de las anteriores | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,"@NONEOFTHEABOVE = 'pmi_none,pmi_prefernottoanswer'"
mhqukb_46,behavioral_health_and_personality,,radio,"¿Cuál es el tiempo más largo que han durado estos periodos ""alterados"" o ""de irritabilidad""?","bhp_83, Menos de 24 horas; | bhp_84, Al menos un día, pero menos de una semana | bhp_85, Al menos cuatro días seguidos, pero menos de una semana; | bhp_86, Una semana o más | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,
mhqukb_48,behavioral_health_and_personality,,radio,"¿Qué edad tenía la PRIMERA vez que experimentó un estado como estos de al menos cuatro días?  Si no lo sabe, puede dar una respuesta aproximada.
","bhp_46, Escriba la edad | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_46] = 'bhp_85' or [mhqukb_46] = 'bhp_86'",,,,,,
mhqukb_48_age,behavioral_health_and_personality,,text,"Escriba la edad que tenía cuando se sintió así por primera vez",,,integer,2,99,,"[mhqukb_48] = 'bhp_46'",,,,,,
mhqukb_47,behavioral_health_and_personality,,radio,"¿Hasta qué punto le han causado problemas estos periodos ""alterados"" o de ""irritabilidad""?","bhp_87, No hubo problemas | bhp_88, Requirieron tratamiento o me causaron problemas en el trabajo, las relaciones, las finanzas, las autoridades u otros aspectos de mi vida | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_43] = 'bhp_6' or [mhqukb_44] = 'bhp_6'",,,,,,
unusual_experiences,behavioral_health_and_personality,,descriptive,"Experiencias y percepciones poco comunes

Algunas personas ven u oyen cosas que otras no ven ni oyen. Se trata de experiencias poco comunes que podrían ser una señal de un trastorno mental que puede tener tratamiento. En la siguiente sección se pregunta por estas y otras experiencias poco comunes. Sus respuestas podrían ayudar a los investigadores científicos a entender mejor por qué suceden estas experiencias y cómo ayudar a las personas que las viven. 

Con esto en mente, ¿alguna vez en su vida ha experimentado alguna de las siguientes experiencias? 
",,,,,,,,,,,,,
mhqukb_49,behavioral_health_and_personality,,radio,"¿Alguna vez ha visto algo que en realidad no estaba ahí y que otras personas no podían ver?  No incluya las veces en que estaba soñando o estaba medio dormido, o bajo la influencia de alcohol o drogas.","bhp_6, Sí | bhp_7, No | pmi_prefernottoanswer, Prefiero no responder",,,,,,,,,,,,
mhqukb_50,behavioral_health_and_personality,,radio,"Aproximadamente, ¿cuántas veces le ha ocurrido esto en su vida?","bhp_44, Escriba el número de veces | bhp_45, Más veces de las que puedo contar | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_49] = 'bhp_6'",,,,,,
mhqukb_50_number,behavioral_health_and_personality,,text,"Escriba el número de veces",,,integer,1,999,,"[mhqukb_50] = 'bhp_44'",,,,,,
cidi5_21,behavioral_health_and_personality,,radio,"¿Alguna vez ha escuchado voces que otras personas no podían escuchar, por ejemplo, voces dentro de su cabeza hablándole o hablando acerca de usted, o voces que salen de la nada cuando no hay nadie alrededor?","bhp_6, Sí | bhp_7, No | pmi_prefernottoanswer, Prefiero no responder",,,,,,,,,,,,
mhqukb_51,behavioral_health_and_personality,,radio,"Aproximadamente, ¿cuántas veces le ha ocurrido esto en su vida?","bhp_44, Escriba el número de veces | bhp_45, Más veces de las que puedo contar | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[cidi5_21] = 'bhp_6'",,,,,,
mhqukb_51_number,behavioral_health_and_personality,,text,"Escriba el número de veces",,,integer,1,999,,"[mhqukb_51] = 'bhp_44'",,,,,,
cidi5_22,behavioral_health_and_personality,,radio,"¿Alguna vez ha pensado que alguna fuerza intentaba comunicarse con usted directamente, a través de señales especiales, como, por ejemplo, a través de la radio o televisión, que usted podía entender, pero nadie más podía comprender?","bhp_6, Sí | bhp_7, No | pmi_prefernottoanswer, Prefiero no responder",,,,,,,,,,,,
mhqukb_52,behavioral_health_and_personality,,radio,"Aproximadamente, ¿cuántas veces le ha ocurrido esto en su vida?        

","bhp_44, Escriba el número de veces | bhp_45, Más veces de las que puedo contar | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[cidi5_22] = 'bhp_6'",,,,,,
mhqukb_52_number,behavioral_health_and_personality,,text,"Escriba el número de veces",,,integer,1,999,,"[mhqukb_52] = 'bhp_44'",,,,,,
cidi5_23,behavioral_health_and_personality,,radio,"¿Alguna vez ha creído que había una conspiración para dañarlo o para que personas lo persigan, pero sus amigos y familiares no creían que fuera verdad?","bhp_6, Sí | bhp_7, No | pmi_prefernottoanswer, Prefiero no responder","Conspiración: Un plan secreto.",,,,,,,,,,,
mhqukb_53,behavioral_health_and_personality,,radio,"Aproximadamente, ¿cuántas veces le ha ocurrido esto en su vida? ","bhp_44, Escriba el número de veces | bhp_45, Más veces de las que puedo contar | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[cidi5_23] = 'bhp_6'",,,,,,
mhqukb_53_number,behavioral_health_and_personality,,text,"Escriba el número de veces",,,integer,1,999,,"[mhqukb_53] = 'bhp_44'",,,,,,
cidi5_24,behavioral_health_and_personality,,text,"¿Aproximadamente cuántos años tenía cuando tuvo su primera experiencia así (ver una aparición, escuchar voces, creer que algo extraño quiere comunicarse con usted o que hay un plan o conspiración en su contra)? Si no lo sabe, puede dar una respuesta aproximada.",,,integer,2,99,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_54,behavioral_health_and_personality,,radio,"¿Qué tanto le ha angustiado tener alguna de estas experiencias (ver una aparición, escuchar voces, creer que alguien o algo extraño quiere comunicarse con usted o que hay un plan o conspiración en su contra)?","bhp_96, Nada angustiante, fue una experiencia positiva | bhp_97, No fue angustiante, fue una experiencia neutra | bhp_98, Un poco angustiante | bhp_99, Bastante angustiante | bhp_100, Muy angustiante | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder","Angustiado: Algo que le pareció inquietante o preocupante.",,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_55,behavioral_health_and_personality,,radio,"¿Alguna vez ha consultado a un doctor, consejero, psiquiatra u otro profesional de la salud por alguna de estas experiencias (ver una aparición, escuchar voces, creer que algo extraño quiere comunicarse con usted o que hay un plan/conspiración en su contra)?","bhp_6, Sí | bhp_7, No | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
mhqukb_56,behavioral_health_and_personality,,radio,"¿Alguna vez un profesional de la salud le ha recetado medicamentos para tratar alguna de estas experiencias (ver una aparición, escuchar voces, creer que algo extraño quiere comunicarse con usted o que hay un plan/conspiración en su contra)?","bhp_6, Sí | bhp_7, No | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[mhqukb_49] = 'bhp_6' or [cidi5_21] = 'bhp_6' or [cidi5_22] = 'bhp_6' or [cidi5_23] = 'bhp_6'",,,,,,
panic_anxiety,behavioral_health_and_personality,,descriptive,"Experiencias de pánico y ansiedad

La siguiente sección es acerca de los ataques de pánico. A los ataques de pánico también se les llama ataques de ansiedad. Estas son sensaciones fuertes e inmediatas de miedo que alcanzan su momento más intenso en unos pocos minutos. Cuando una persona sufre un ataque de ansiedad, también suele presentar síntomas físicos. Cuando se producen estos síntomas, pueden ser graves e inquietantes, tanto que las personas que los padecen pueden pensar que están sufriendo un infarto. Sus respuestas a las siguientes preguntas pueden ayudar a los investigadores científicos a saber cómo prevenir y tratar mejor estos ataques.",,,,,,,,,,,,,
cidi5_16,behavioral_health_and_personality,,radio,"Con esta definición en mente, ¿alguna vez en su vida ha tenido un ataque de pánico?","bhp_6, Sí | bhp_7, No",,,,,,,,,,,,
cidi5_17,behavioral_health_and_personality,,radio,"¿Alguno de estos ataques de pánico se ha producido ""de repente"" y sin motivo aparente?","bhp_6, Sí | bhp_7, No | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_18,behavioral_health_and_personality,,radio,"Luego de que empezaran estos ataques, ¿le preocupaba mucho tener otro ataque o hizo algo diferente para evitar que sucediera otro ataque?","bhp_6, Sí | bhp_7, No",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_19,behavioral_health_and_personality,,radio,"Aproximadamente, ¿cuántos ataques de pánico ha tenido en su vida?","bhp_93, 1 o 2 | bhp_94, Más de 2 pero menos de 10 | bhp_95, 10 o más veces | pmi_dontknow, No sé | pmi_prefernottoanswer, Prefiero no responder",,,,,,"[cidi5_16] = 'bhp_6'",,,,,,
cidi5_20,behavioral_health_and_personality,,text,"¿Qué edad tenía la primera vez que sufrió un ataque de pánico o de ansiedad? Si no lo sabe, puede dar una respuesta aproximada.",,,integer,2,99,,"[cidi5_16] = 'bhp_6'",,,,,,
recurring_thoughts,behavioral_health_and_personality,,descriptive,"Pensamientos y comportamientos que se repiten constantemente

Por lo general, todos revisamos o comprobamos algo dos veces. Revisamos que la puerta esté cerrada o que el horno esté apagado. Algunas personas tienen la necesidad de revisar las cosas una y otra vez, aunque no quieran. No poder controlar los pensamientos y comportamientos puede ser una señal de un trastorno mental para el cual podría haber tratamiento. En la siguiente sección, le preguntamos por los pensamientos y comportamientos que pueden ser difíciles de controlar y que pueden causar ansiedad.",,"Intrusive: Not wanted.",,,,,,,,,,,
pmi_1,behavioral_health_and_personality,,radio,"¿Alguna vez le han molestado pensamientos, imágenes o impulsos que regresaban una y otra vez, aun cuando no los quería? Por ejemplo, estar preocupado por los gérmenes o el orden, experimentar imágenes horribles, pensamientos sexuales intrusivos, impulsos de golpear o tocar objetos o dañar a sus seres queridos.","bhp_6, Sí | bhp_7, No","Intrusivos: No deseados.",,,,,,,,,,,
pmi_2,behavioral_health_and_personality,,radio,"¿Alguna vez ha habido algo que tuvo que repetir una y otra vez y le resultó difícil resistirse a hacerlo, como lavarse las manos, revisar el horno o repetir algo un número determinado de veces hasta sentirse bien?","bhp_6, Sí | bhp_7, No",,,,,,,,,,,,
cidi5_25,behavioral_health_and_personality,,radio,"¿Alguna vez le ha sido imposible dejar de pincharse (arañarse/rascar) la piel?","bhp_6, Sí | bhp_7, No",,,,,,,,,,,,
