field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,february_covid19_participant_experience_cope_surve,,text,"Record ID",,,,,,,,,,,,,
cope_feb,february_covid19_participant_experience_cope_surve,,descriptive,"Encuesta de afrontamiento de la experiencia del participante del Covid-19 de febrero en español",,,,,,,,,,,,,"Launched 2/8/21 - 3/5/2020 (PTSC) & 2/9/21 - 3/5/2020 (CE)."
section_intro,february_covid19_participant_experience_cope_surve,,descriptive,"¿Qué debo saber antes de participar? 

El Programa Científico All of Us busca entender los cambios en sus experiencias y su salud durante la pandemia de la enfermedad del coronavirus 2019 (COVID-19). Ayúdenos a saber más al completar esta encuesta. Su participación puede ayudar a investigadores científicos en todo el mundo a entender mejor el impacto de la pandemia de COVID-19 durante estos tiempos difíciles. El Programa Científico All of Us podría repetir esta encuesta a lo largo de la pandemia.

Las preguntas de esta encuesta pueden ser sensibles y pueden causar preocupación o ansiedad. Recuerde que su privacidad es muy importante para nosotros. Su nombre e identidad se separarán de sus respuestas antes de compartirlas con los investigadores científicos autorizados.

Mientras responde, nadie estará observando sus respuestas. Sin embargo, en base a sus respuestas el sistema automáticamente puede sugerirle una línea de apoyo telefónico gratuito para recibir ayuda inmediata.",,,,,,,,,,,,,
section_participation,february_covid19_participant_experience_cope_surve,,radio,"Puede decidir no responder cualquier pregunta en cualquier momento. Esta encuesta le tomará de 8 a 10 minutos aproximadamente para completarla. A algunas personas podría tomarles más tiempo completar la encuesta.","COPE_A_44, Sí, todavía quiero participar en la encuesta. | COPE_A_231, Sí, pero quiero completar la encuesta en otro momento. | COPE_A_13, No quiero participar en la encuesta.",,,,,,,y,LV,,,,
section_instructions,february_covid19_participant_experience_cope_surve,,descriptive,"Responda cada pregunta de la manera más honesta posible. Buscamos sus propias respuestas, no lo que usted piensa que su médico, familiares o amigos quieren que responda.

No sienta que debe pasar mucho tiempo respondiendo cada pregunta. La primera respuesta que le viene a la mente normalmente es la mejor. Si no está seguro(a) sobre cómo responder una pregunta, elija la mejor respuesta de las opciones que se le presentan. Algunas preguntas también le permiten indicar si no sabe la respuesta o si prefiere no responder. Algunas de estas preguntas podrían ser delicadas. Puede decidir no responderlas.",,,,,,,,,,,,,
cdc_covid_19_21,february_covid19_participant_experience_cope_surve,"Experiencias de distanciamiento social

Las siguientes preguntas son acerca de sus experiencias con el distanciamiento social y otras medidas preventivas, tales como usar un cubrebocas o mascarilla cuando está con otras personas fuera de su casa. El distanciamiento social significa mantener por lo menos dos metros (seis pies) de espacio entre usted y otras personas que viven fuera de su casa.
",radio,"Durante el mes pasado, ¿le han causado estrés las recomendaciones de distanciamiento social?","COPE_A_43, Mucho | COPE_A_3, Algo | COPE_A_67, Un poco | COPE_A_168, Nada",,,,,,,,LV,,,,
msds_9,february_covid19_participant_experience_cope_surve,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, me he quedado en casa todo el día (o si salí, permanecí por lo menos a 6 pies o 2 metros de distancia de las personas que no viven conmigo).","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_10,february_covid19_participant_experience_cope_surve,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he ido a mi lugar de trabajo (pagado o voluntario) que está fuera de mi casa.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,"[msds_9] = 'COPE_A_171' or [msds_9] = 'COPE_A_53' or [msds_9] = 'COPE_A_127'",,LV,,,,
msds_10_a,february_covid19_participant_experience_cope_surve,,radio,"¿Con qué frecuencia usó un cubrebocas o una mascarilla?","COPE_A_120, Nunca | COPE_A_158, Algunas veces | COPE_A_102, La mayor parte del tiempo | COPE_A_129, Siempre | PMI_DoesNotApplyToMe, No aplica",,,,,,"[msds_10] = 'COPE_A_53' or [msds_10] = 'COPE_A_127' or [msds_10] = 'COPE_A_150'",,LV,,,,
msds_12,february_covid19_participant_experience_cope_surve,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he asistido a reuniones sociales fuera de mi casa de MENOS de 10 personas.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,"[msds_9] = 'COPE_A_171' or [msds_9] = 'COPE_A_53' or [msds_9] = 'COPE_A_127'",,LV,,,,
