field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,emotional_health_history_and_wellbeing,,text,"Record ID",,,,,,,,,,,,,
ehhwb,emotional_health_history_and_wellbeing,,descriptive,"Historia de salud y bienestar emocional",,,,,,,,,,,,,
ehhwb_intro,emotional_health_history_and_wellbeing,,descriptive,"Las siguientes preguntas son sobre su salud emocional y bienestar. Participar en esta encuesta nos ayudará a comprender la salud emocional y el bienestar, y cómo afectan a la salud en general. Completar esta encuesta le llevará aproximadamente 8 minutos.

Responda cada pregunta de la manera más honesta posible.  Estamos buscando sus propias respuestas y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomarse mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Algunas preguntas le permiten decir que no sabe la respuesta o que prefiere no responder. Algunas de estas preguntas podrían ser delicadas. Puede elegir no responder ninguna pregunta.
",,,,,,,,,,,,,
anxiety_worry,emotional_health_history_and_wellbeing,,descriptive,"Sensación de ansiedad y preocupación generalizada

Todo el mundo se preocupa de vez en cuando. Las siguientes preguntas son sobre la ansiedad y la preocupación. Sus respuestas pueden ayudar a los investigadores científicos a comprender mejor cómo la ansiedad afecta la salud física y mental. Compartir sus experiencias también podría mejorar la forma de identificar y tratar la ansiedad de más personas. En las últimas 2 semanas, ¿con qué frecuencia le han molestado los siguientes problemas?",,"On edge: Feeling tense or uneasy",,,,,,,,,,,
gad7_1,emotional_health_history_and_wellbeing,,radio,"Sentirse nervioso(a), ansioso(a) o con los nervios de punta.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días","Nervios de punta: Sentirse como si estuviera a punto de perder el control.",,,,,,,,,,,
gad7_2,emotional_health_history_and_wellbeing,,radio,"No ser capaz de parar o controlar su preocupación.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días",,,,,,,,,,,,
gad7_3,emotional_health_history_and_wellbeing,,radio,"Preocuparse demasiado por motivos diferentes.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días",,,,,,,,,,,,
gad7_4,emotional_health_history_and_wellbeing,,radio,"Tener dificultad para relajarse.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días",,,,,,,,,,,,
gad7_5,emotional_health_history_and_wellbeing,,radio,"Sentirse tan inquieto(a) que no ha podido quedarse tranquilo(a).","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días",,,,,,,,,,,,
gad7_6,emotional_health_history_and_wellbeing,,radio,"Molestarse o irritarse fácilmente.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días","Molestarse o irritarse: Enojarse o perder la calma con facilidad.",,,,,,,,,,,
gad7_7,emotional_health_history_and_wellbeing,,radio,"Tener miedo de que algo terrible pudiera ocurrir.","ehhwb_8, Ningún día | ehhwb_9, Varios días | ehhwb_10, Más de la mitad de los días | ehhwb_11, Casi todos los días",,,,,,,,,,,,
worryanxiety,emotional_health_history_and_wellbeing,,radio,"En su vida, ¿ha habido un período de 6 meses o más en el cual haya tenido problemas de preocupación y ansiedad?","ehhwb_6, Sí | ehhwb_7, No",,,,,,,,,,,,
worryanxiety_yes,emotional_health_history_and_wellbeing,,descriptive,"Piense en un momento de su vida que duró 6 meses o más en el cual tuvo la mayor cantidad de problemas relacionados con preocupación y ansiedad.  Durante esos 6 meses, ¿con qué frecuencia...",,,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_6,emotional_health_history_and_wellbeing,,radio,"¿Se sintió preocupado(a) y ansioso(a)? ","ehhwb_70, Siempre o casi siempre | ehhwb_71, La mayor parte del tiempo | ehhwb_72, Algunas veces | ehhwb_73, Pocas veces | ehhwb_74, Nunca",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_7,emotional_health_history_and_wellbeing,,radio,"¿Se preocupó por diferentes cosas en su vida, como su trabajo, familia, salud o dinero?","ehhwb_70, Siempre o casi siempre | ehhwb_71, La mayor parte del tiempo | ehhwb_72, Algunas veces | ehhwb_73, Pocas veces | ehhwb_74, Nunca",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_8,emotional_health_history_and_wellbeing,,radio,"¿Se preocupó excesivamente o demasiado?","ehhwb_70, Siempre o casi siempre | ehhwb_71, La mayor parte del tiempo | ehhwb_72, Algunas veces | ehhwb_73, Pocas veces | ehhwb_74, Nunca","Excesivamente: Más de lo necesario.",,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_9,emotional_health_history_and_wellbeing,,radio,"¿Tuvo problemas para controlar su preocupación?","ehhwb_70, Siempre o casi siempre | ehhwb_71, La mayor parte del tiempo | ehhwb_72, Algunas veces | ehhwb_73, Pocas veces | ehhwb_74, Nunca",,,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
cidi5_10,emotional_health_history_and_wellbeing,,radio,"¿Se sintió inquieto, nervioso o a punto de perder el control?","ehhwb_70, Siempre o casi siempre | ehhwb_71, La mayor parte del tiempo | ehhwb_72, Algunas veces | ehhwb_73, Pocas veces | ehhwb_74, Nunca","Nervioso o a punto de perder el control: Sentirse ansioso o agitado.",,,,,"[worryanxiety] = 'ehhwb_6'",,,,,,
worryanxiety_yes_2,emotional_health_history_and_wellbeing,,descriptive,"Durante esos 6 meses, ¿con qué frecuencia...",,,,,,,"([cidi5_6] = 'ehhwb_70' or [cidi5_6] = 'ehhwb_71' or [cidi5_6] = 'ehhwb_72') and ([cidi5_7] = 'ehhwb_70' or [cidi5_7] = 'ehhwb_71' or [cidi5_7] = 'ehhwb_72')",,,,,,
