field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,spanish_exploring_the_mind_consent_form,,text,"Record ID",,,,,,,,,,,,,
english_exploring_the_mind_consent_form,spanish_exploring_the_mind_consent_form,,text,,,,,,,,,,,,,,
welcome_to_etm,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">Welcome to Exploring the Mind!</span></h2> <p><span style=""font-weight: normal;"">Exploring the Mind is a group of activities to research behavior and cognition. These activities will collect new types of data from you. They will measure things like:</span></p> <ul> <li><span style=""font-weight: normal;"">the amount of time you are able to concentrate on a task without getting distracted</span></li> <li><span style=""font-weight: normal;"">your process for making some decisions</span></li> <li><span style=""font-weight: normal;"">how long it takes you to respond to a question or prompt</span></li> <li><span style=""font-weight: normal;"">how often you respond correctly</span></li> <li><span style=""font-weight: normal;"">your ability to recognize emotions</span></li> </ul> <p><span style=""font-weight: normal;"">Please read the following information carefully. We will tell you more about these activities and how your participation can help researchers. At the end, we'll ask you if you want to take part in Exploring the Mind. You can choose 'yes' or 'no' and still participate in All of Us.</span></p></div>",,,,,,,,,,,,,
etm_what_will_you_ask,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">What Will You Ask Me to Do?</span></h2> <p><span style=""font-weight: normal;"">Each activity will ask you to do something different. They may be short exercises, quizzes, or puzzles. For example, one activity may ask you to look at pictures of faces and decide if they are happy or sad. Another may ask you to press a button when the screen shows a certain picture or to guess how many dots are on the screen. We may add new activities over time.</span></p> <p><span style=""font-weight: normal;"">Before you do an activity, we will tell you about it. We will tell you about any accessibility limitations it may have. You can decide if you want to do that activity or not. You can choose to do some activities and not others.</span></p></div>",,,,,,,,,,,,,
etm_how_helping_research,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">How Am I Helping Research?</span></h2> <p><span style=""font-weight: normal;"">Understanding how our minds work is tricky. We still have a lot to learn. We are also learning the best ways to study the mind. If you take part in Exploring the Mind, you can help with both!</span></p> <p><span style=""font-weight: normal;"">Your data from Exploring the Mind will be combined with data from other All of Us participants. The strength of All of Us is that our hundreds of thousands of participants reflect the many different people across the U.S. These people live in different circumstances and different environments and are at different life stages. Data from Exploring the Mind may help researchers find patterns about how our minds work across these differences. </span></p> <p><span style=""font-weight: normal;"">For example, data from Exploring the Mind can be used to look at things that influence our attention spans. Like time of day or average amount of sleep. They can be used to study when in life people get better at recognizing emotions. Or how different conditions may affect reaction speed or accuracy.</span></p> <p><span style=""font-weight: normal;"">These data can also help researchers see how well the activities measure things about our behavior and cognition. They can use this information to improve the activities or develop new ones to get more helpful data for research.</span></p></div>",,,,,,,,,,,,,
etm_done_with_data,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">What Will You Do With My Data?</span></h2> <p><span style=""font-weight: normal;"">We will add your data from Exploring the Mind activities to the other data you have shared with All of Us. We will add it to the All of Us databases. We will not include your name or other information that directly identifies you.</span><br /><span style=""font-weight: normal;"">Researchers can use data from these activities to study many topics, including:</span></p> <ul> <li><span style=""font-weight: normal;"">Mental health and mental health conditions</span> <ul> <li><span style=""font-weight: normal;"">l</span><span style=""font-weight: normal;"">ike depression or schizophrenia</span></li> </ul> </li> <li><span style=""font-weight: normal;"">Behavioral health and behavioral health conditions</span> <ul> <li><span style=""font-weight: normal;"">like gambling or substance use disorder</span></li> </ul> </li> <li><span style=""font-weight: normal;"">Development and changes in thinking and reasoning over the lifespan</span></li> </ul> <p><span style=""font-weight: normal;"">Researchers want to study these activities for all kinds of people with all kinds of brains. You do not need to have a mental, behavioral, or cognitive condition for your data to help research.</span></p></div>",,,,,,,,,,,,,
etm_risks_to_pt,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2>Are There Risks to Taking Part in Exploring the Mind?</h2> <p><span style=""font-weight: normal;"">The risks of taking part in Exploring the Mind include the risks of participating in All of Us. You can review those risks in the Consent to Join the All of Us Research Program in the Agreements area of your account.</span><br /><br /><span style=""font-weight: normal;"">There are also potential physical risks for some activities. Some activities will:</span></p> <ul> <li><span style=""font-weight: normal;"">have rapidly changing or flashing images. These activities may affect people with photosensitive epilepsy or other conditions that may make them sensitive to flashing lights and images. We will tell you if there are rapidly changing or flashing images before the first time you do an activity.</span></li> <li><span style=""font-weight: normal;"">ask you to respond to visual images. This can mean focusing on your screen for a period of time. This may cause eye discomfort for some people.</span></li> <li><span style=""font-weight: normal;"">ask you to make fast or repeated movements. Like pressing a key, clicking with the mouse, or tapping your screen. These activities may cause discomfort for some people.</span></li> </ul> <p><span style=""font-weight: normal;"">Before the first time you do each activity, we will tell you about what we will ask you to do. Please do not do any activity you think may cause you discomfort or harm.</span></p></div>",,,,,,,,,,,,,
etm_emotional_risks,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2>Are There Emotional Risks to Taking Part in Exploring the Mind?</h2> <p><span style=""font-weight: normal;"">Some participants may be stressed or worried by participating in Exploring the Mind. For example:</span></p> <ul> <li><span style=""font-weight: normal;"">Some activities will ask you to focus for a period of time. Others may ask you to recognize emotions on pictures of faces. If these activities are hard for you, they may frustrate you.</span></li> <li><span style=""font-weight: normal;"">Most activities will let you see how you did when you finish them. They may tell you the number of questions you got right. Or how fast you responded. Your results could worry you. For example, you may not have done as well as you expected. Or how you do may change over time if you repeat the same activity.</span></li> </ul> <p><span style=""font-weight: normal;"">Lots of things can influence how you do on these activities. Like, if you got enough sleep last night. Or if you're distracted. Your results aren't a reflection on your abilities. They aren't ""good"" or ""bad.""</span><br /><br /><span style=""font-weight: normal;"">It's important to remember that Exploring the Mind activities are for research. These activities do not provide medical information or a diagnosis. They will not tell you whether or not you have a mental, behavioral, or cognitive condition.</span></p></div>",,,,,,,,,,,,,
etm_time_to_decide,spanish_exploring_the_mind_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2>Time to Decide</h2> <p><span style=""font-weight: normal;"">The next screen is the informed consent form for Exploring the Mind. Review this document carefully. Then we will ask you if you want to take part in Exploring the Mind. If you say yes, we will ask you to sign the informed consent form. You get to choose. Whatever you decide, you will still be an All of Us participant.</span><br /><br /><span style=""font-weight: normal;"">If you still have questions, you can call, email, or chat with a representative from All of Us.</span></p></div>",,,,,,,,,,,,,
etm_consent,spanish_exploring_the_mind_consent_form,,radio,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">Would you like to take part in Exploring the Mind?</span></h2> <ul> <li><span style=""font-weight: normal;"">Yes</span><br /> <ul> <li><span style=""font-weight: normal;"">I know there will be different Exploring the Mind activities to do. I get to decide which activities I want to do.</span></li> <li><span style=""font-weight: normal;"">I know that many Exploring the Mind activities will give me the option to see how I did after I finish them. Those results are not medical information or a diagnosis.</span></li> <li><span style=""font-weight: normal;"">I know my data from Exploring the Mind will be added to the All of Us public and scientific databases. Researchers will use the data to make discoveries.</span></li> <li><span style=""font-weight: normal;"">I know I can withdraw my consent to take part in Exploring the Mind at any time. There is no penalty. I will still be an All of Us participant.</span></li> </ul> </li> <li><span style=""font-weight: normal;"">No</span> <ul> <li><span style=""font-weight: normal;"">I know I can change my mind later.</span><br /></li> </ul> </li> </ul></div>","etm_yes, Yes | etm_no, No",,,,,,,,,,,,
