field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,family_health_history,,text,"Record ID",,,,,,,,,,,,,
familyhistory,family_health_history,,descriptive,"HISTORIAL DE SALUD FAMILIAR ESPAÑOL",,,,,,,,,,,,,"Revised version launched 11/19/20 (PTSC) & 12/19/20 (CE). Revised version was reformatted so that there is a single listing of medical condition categories rather than a repeat according to each family member. Original version launched 5/31/18 (PTSC) and 3/9/2020 (CE)."
familyhistory_familymedicalhistoryaware,family_health_history,"Por favor, responda cada pregunta de la manera más honesta posible. No hay respuestas correctas ni incorrectas para cualquiera de estas preguntas. Es importante que responda a todas las preguntas que pueda. Estamos buscando sus propias respuestas y no lo que piensan sus doctores, familiares, o amigos. 

No sienta que tiene que tomarse mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Algunas preguntas le permiten decir que no sabe la respuesta o que prefiere no responder. 

Esta encuesta le pregunta sobre la historia médica de su familia, incluyendo los problemas de salud que sus padres, abuelos, hermanos, o hijos biológicos padecen actualmente o han padecido en el pasado. Aprender acerca de las experiencias de su familia con los problemas médicos, puede informarnos acerca de los tipos de problemas médicos que podrían estar relacionados con su genética. La genética tiene que ver con las características que se transmiten de generación en generación en una familia.

Las siguientes preguntas son sobre su familia. Solo piense en los miembros de su familia con los que tiene un lazo sanguíneo, incluidos los vivos y los que han fallecido.",radio,"¿Cuánta información conoce sobre las enfermedades o problemas de salud de los siguientes miembros de su familia: padres, abuelos, hermanos, hermanas e hijos?","FamilyMedicalHistoryAware_Alot, Mucho | FamilyMedicalHistoryAware_Some, Algo | FamilyMedicalHistoryAware_None, Nada",,,,,,,,,,,,
diagnosedhealthcondition_cancercondition,family_health_history,"Tipos de cáncer",checkbox,"Por favor indique si alguna persona de su familia ha sido diagnosticada con uno de las siguientes tipos de cáncer. Solo piense en los miembros de su familia con los que comparte un lazo sanguíneo. Elija todas las opciones que correspondan. ","CancerCondition_BladderCancer, Cáncer de vejiga | CancerCondition_BoneCancer, Cáncer de huesos | CancerCondition_BloodCancer, Cáncer de sangre o de los tejidos blandos | CancerCondition_BrainCancer, Cáncer de cerebro | CancerCondition_BreastCancer, Cáncer de mama | CancerCondition_CervicalCancer, Cáncer de útero (matriz) | CancerCondition_ColonRectalCancer, Cáncer de colon/Cáncer de recto | CancerCondition_EndocrineCancer, Cáncer del sistema endócrino | CancerCondition_EndometrialCancer, Cáncer endometrial | CancerCondition_EsophogealCancer, Cáncer de esófago | CancerCondition_EyeCancer, Cáncer de ojo | CancerCondition_HeadNeckCancer, Cabeza y cuello (esto incluye cáncer de boca, seno paranasal, nasal o de garganta. No incluye cáncer de cerebro.) | CancerCondition_KidneyCancer, Cáncer de riñón | CancerCondition_LungCancer, Cáncer de pulmón | CancerCondition_OvarianCancer, Cáncer de ovario | CancerCondition_PancreaticCancer, Cáncer de pancreas | CancerCondition_ProstateCancer, Cáncer de próstata | CancerCondition_SkinCancer, Cáncer de piel | CancerCondition_StomachCancer, Cáncer de estómago | CancerCondition_ThyroidCancer, Cáncer de tiroides | CancerCondition_OtherCancer, Otro tipo de cáncer | PMI_None, Ninguna de las anteriores | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no responder",,,,,,"[familyhistory_familymedicalhistoryaware] = 'FamilyMedicalHistoryAware_Alot' or [familyhistory_familymedicalhistoryaware] = 'FamilyMedicalHistoryAware_Some'",,,,,,
cancercondition_bladdercancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de vejiga? Elija todas las opciones que correspondan.","MotherCancerCondition_BladderCancer, Madre | FatherCancerCondition_BladderCancer, Padre | SiblingCancerCondition_BladderCancer, Hermano/a | DaughterCancerCondition_BladderCancer, Hija | SonCancerCondition_BladderCancer, Hijo | GrandparentCancerCondition_BladderCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BladderCancer)] = '1'",,,,,,
cancercondition_bonecancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de huesos? Elija todas las opciones que correspondan.","MotherCancerCondition_BoneCancer, Madre | FatherCancerCondition_BoneCancer, Padre | SiblingCancerCondition_BoneCancer, Hermano/a | DaughterCancerCondition_BoneCancer, Hija | SonCancerCondition_BoneCancer, Hijo | GrandparentCancerCondition_BoneCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BoneCancer)] = '1'",,,,,,
cancercondition_bloodcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de sangre o de los tejidos blandos? Elija todas las opciones que correspondan.","MotherCancerCondition_BloodCancer, Madre | FatherCancerCondition_BloodCancer, Padre | SiblingCancerCondition_BloodCancer, Hermano/a | DaughterCancerCondition_BloodCancer, Hija | SonCancerCondition_BloodCancer, Hijo | GrandparentCancerCondition_BloodCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BloodCancer)] = '1'",,,,,,
cancercondition_braincancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de cerebro? Elija todas las opciones que correspondan.","MotherCancerCondition_BrainCancer, Madre | FatherCancerCondition_BrainCancer, Padre | SiblingCancerCondition_BrainCancer, Hermano/a | DaughterCancerCondition_BrainCancer, Hija | SonCancerCondition_BrainCancer, Hijo | GrandparentCancerCondition_BrainCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BrainCancer)] = '1'",,,,,,
cancercondition_breastcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de mama? Elija todas las opciones que correspondan.","MotherCancerCondition_BreastCancer, Madre | FatherCancerCondition_BreastCancer, Padre | SiblingCancerCondition_BreastCancer, Hermano/a | DaughterCancerCondition_BreastCancer, Hija | SonCancerCondition_BreastCancer, Hijo | GrandparentCancerCondition_BreastCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BreastCancer)] = '1'",,,,,,
cancercondition_cervicalcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de útero (matriz)? Elija todas las opciones que correspondan.","MotherCancerCondition_CervicalCancer, Madre | SiblingCancerCondition_CervicalCancer, Hermana | DaughterCancerCondition_CervicalCancer, Hija | GrandparentCancerCondition_CervicalCancer, Abuela",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_CervicalCancer)] = '1'",,,,,,
cancercondition_colonrectalcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de colon/cáncer de recto? Elija todas las opciones que correspondan.","MotherCancerCondition_ColonRectalCancer, Madre | FatherCancerCondition_ColonRectalCancer, Padre | SiblingCancerCondition_ColonRectalCancer, Hermano/a | DaughterCancerCondition_ColonRectalCancer, Hija | SonCancerCondition_ColonRectalCancer, Hijo | GrandparentCancerCondition_ColonRectalCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_ColonRectalCancer)] = '1'",,,,,,
cancercondition_endocrinecancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer del sistema endócrino? Elija todas las opciones que correspondan.","MotherCancerCondition_EndocrineCancer, Madre | FatherCancerCondition_EndocrineCancer, Padre | SiblingCancerCondition_EndocrineCancer, Hermano/a | DaughterCancerCondition_EndocrineCancer, Hija | SonCancerCondition_EndocrineCancer, Hijo | GrandparentCancerCondition_EndocrineCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndocrineCancer)] = '1'",,,,,,
cancercondition_endometrialcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer endometrial? Elija todas las opciones que correspondan.","MotherCancerCondition_EndometrialCancer, Madre | SiblingCancerCondition_EndometrialCancer, Hermana | DaughterCancerCondition_EndometrialCancer, Hija | GrandparentCancerCondition_EndometrialCancer, Abuela",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndometrialCancer)] = '1'",,,,,,
cancercondition_esophagealcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de esófago? Elija todas las opciones que correspondan.","MotherCancerCondition_EsophagealCancer, Madre | FatherCancerCondition_EsophagealCancer, Padre | SiblingCancerCondition_EsophagealCancer, Hermano/a | DaughterCancerCondition_EsophagealCancer, Hija | SonCancerCondition_EsophagealCancer, Hijo | GrandparentCancerCondition_EsophagealCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EsophogealCancer)] = '1'",,,,,,
cancercondition_eyecancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de ojo? Elija todas las opciones que correspondan.","MotherCancerCondition_EyeCancer, Madre | FatherCancerCondition_EyeCancer, Padre | SiblingCancerCondition_EyeCancer, Hermano/a | DaughterCancerCondition_EyeCancer, Hija | SonCancerCondition_EyeCancer, Hijo | GrandparentCancerCondition_EyeCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EyeCancer)] = '1'",,,,,,
cancercondition_headneckcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cabeza y cuello (esto incluye cáncer de boca, seno paranasal, nasal o de garganta. No incluye cáncer de cerebro.)? Elija todas las opciones que correspondan.","MotherCancerCondition_HeadNeckCancer, Madre | FatherCancerCondition_HeadNeckCancer, Padre | SiblingCancerCondition_HeadNeckCancer, Hermano/a | DaughterCancerCondition_HeadNeckCancer, Hija | SonCancerCondition_HeadNeckCancer, Hijo | GrandparentCancerCondition_HeadNeckCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_HeadNeckCancer)] = '1'",,,,,,
cancercondition_kidneycancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de riñón? Elija todas las opciones que correspondan.","MotherCancerCondition_KidneyCancer, Madre | FatherCancerCondition_KidneyCancer, Padre | SiblingCancerCondition_KidneyCancer, Hermano/a | DaughterCancerCondition_KidneyCancer, Hija | SonCancerCondition_KidneyCancer, Hijo | GrandparentCancerCondition_KidneyCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_KidneyCancer)] = '1'",,,,,,
cancercondition_lungcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de pulmón? Elija todas las opciones que correspondan.","MotherCancerCondition_LungCancer, Madre | FatherCancerCondition_LungCancer, Padre | SiblingCancerCondition_LungCancer, Hermano/a | DaughterCancerCondition_LungCancer, Hija | SonCancerCondition_LungCancer, Hijo | GrandparentCancerCondition_LungCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_LungCancer)] = '1'",,,,,,
cancercondition_ovariancancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de ovario? Elija todas las opciones que correspondan.","MotherCancerCondition_OvarianCancer, Madre | SiblingCancerCondition_OvarianCancer, Hermana | DaughterCancerCondition_OvarianCancer, Hija | GrandparentCancerCondition_OvarianCancer, Abuela",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_OvarianCancer)] = '1'",,,,,,
cancercondition_pancreaticcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de pancreas? Elija todas las opciones que correspondan.","MotherCancerCondition_PancreaticCancer, Madre | FatherCancerCondition_PancreaticCancer, Padre | SiblingCancerCondition_PancreaticCancer, Hermano/a | DaughterCancerCondition_PancreaticCancer, Hija | SonCancerCondition_PancreaticCancer, Hijo | GrandparentCancerCondition_PancreaticCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_PancreaticCancer)] = '1'",,,,,,
cancercondition_prostatecancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de próstata? Elija todas las opciones que correspondan.","FatherCancerCondition_ProstateCancer, Padre | SiblingCancerCondition_ProstateCancer, Hermano | SonCancerCondition_ProstateCancer, Hijo | GrandparentCancerCondition_ProstateCancer, Abuelo",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_ProstateCancer)] = '1'",,,,,,
cancercondition_skincancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de piel? Elija todas las opciones que correspondan.","MotherCancerCondition_SkinCancer, Madre | FatherCancerCondition_SkinCancer, Padre | SiblingCancerCondition_SkinCancer, Hermano/a | DaughterCancerCondition_SkinCancer, Hija | SonCancerCondition_SkinCancer, Hijo | GrandparentCancerCondition_SkinCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_SkinCancer)] = '1'",,,,,,
cancercondition_stomachcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de estómago? Elija todas las opciones que correspondan.","MotherCancerCondition_StomachCancer, Madre | FatherCancerCondition_StomachCancer, Padre | SiblingCancerCondition_StomachCancer, Hermano/a | DaughterCancerCondition_StomachCancer, Hija | SonCancerCondition_StomachCancer, Hijo | GrandparentCancerCondition_StomachCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_StomachCancer)] = '1'",,,,,,
cancercondition_thyroidcancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido cáncer de  tiroides? Elija todas las opciones que correspondan.","MotherCancerCondition_ThyroidCancer, Madre | FatherCancerCondition_ThyroidCancer, Padre | SiblingCancerCondition_ThyroidCancer, Hermano/a | DaughterCancerCondition_ThyroidCancer, Hija | SonCancerCondition_ThyroidCancer, Hijo | GrandparentCancerCondition_ThyroidCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_ThyroidCancer)] = '1'",,,,,,
cancercondition_othercancer_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido otro tipo de cáncer? Elija todas las opciones que correspondan.","MotherCancerCondition_OtherCancer, Madre | FatherCancerCondition_OtherCancer, Padre | SiblingCancerCondition_OtherCancer, Hermano/a | DaughterCancerCondition_OtherCancer, Hija | SonCancerCondition_OtherCancer, Hijo | GrandparentCancerCondition_OtherCancer, Abuelo/a",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_motherfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su madre ha tenido.",,,,,,,"[cancercondition_othercancer_yes(MotherCancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_fatherfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su padre ha tenido.",,,,,,,"[cancercondition_othercancer_yes(FatherCancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_siblingfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su hermano/a ha tenido.",,,,,,,"[cancercondition_othercancer_yes(SiblingCancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_daughterfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su hija ha tenido.",,,,,,,"[cancercondition_othercancer_yes(DaughterCancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_sonfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su hijo ha tenido.",,,,,,,"[cancercondition_othercancer_yes(SonCancerCondition_OtherCancer)] = '1'",,,,,,
othercancer_grandparentfreetextbox,family_health_history,,text,"Por favor escriba otros tipos de cáncer que su abuelo/a ha tenido.",,,,,,,"[cancercondition_othercancer_yes(GrandparentCancerCondition_OtherCancer)] = '1'",,,,,,
diagnosedhealthcondition_circulatorycondition,family_health_history,"Enfermedades del corazón y la sangre",checkbox,"Por favor indique si alguna persona de su familia ha sido diagnosticada con alguna de las siguientes enfermedades del corazón y la sangre. Solo piense en los miembros de su familia con los que comparte un lazo sanguíneo. Elija todas las opciones que correspondan.","DiagnosedHealthCondition_Anemia, Anemia | CirculatoryCondition_AorticAneurysm, Aneurisma aórtico | CirculatoryCondition_AtrialFibrilation, Fibrilación auricular (o fa) o palpitación auricular (o pa). | CirculatoryCondition_CongestiveHeartFailure, Insuficiencia cardíaca congestiva | CirculatoryCondition_CoronaryArteryHeartDisease, Enfermedad coronaria/de las arterias coronarias (incluida la angina de pecho) | CirculatoryCondition_HeartAttack, Infarto del corazón | CirculatoryCondition_HeartValveDisease, Enfermedad de las valvulas del corazón | CirculatoryCondition_HighBloodPressure, Hipertensión (Presión arterial alta) | CirculatoryCondition_HighCholesterol, Colesterol alto | CirculatoryCondition_PeripheralVascularDisease, Enfermedad vascular periférica | CirculatoryCondition_PulmonaryEmbolismThrombosis, Embolia en los pulmones o trombosis de las venas profundas (TVP) | CirculatoryCondition_SickleCellDisease, Anemia de células falciformes | CirculatoryCondition_Stroke, Accidente cerebrovascular | CirculatoryCondition_SuddenDeath, Muerte súbita | PMI_None, Ninguna de las anteriores | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no responder",,,,,,,,,,,,
diagnosedhealthcondition_anemia_yes,family_health_history,,checkbox,"¿Quién en su familia ha tenido anemia? Elija todas las opciones que correspondan.","MotherCirculatoryCondition_Anemia, Madre | FatherCirculatoryCondition_Anemia, Padre | SiblingCirculatoryCondition_Anemia, Hermano/a | DaughterCirculatoryCondition_Anemia, Hija | SonCirculatoryCondition_Anemia, Hijo | GrandparentCirculatoryCondition_Anemia, Abuelo/a",,,,,,"[diagnosedhealthcondition_circulatorycondition(DiagnosedHealthCondition_Anemia)] = '1'",,,,,,
