field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,acceso_a_y_uso_de_atencin_mdica,,text,"Record ID",,,,,,,,,LV,,,,
healthcareaccess,acceso_a_y_uso_de_atencin_mdica,,text,"Acceso a y uso de atención médica",,,,,,,,,,,,,"Launched 5/31/2018 (PTSC) and 3/9/2020 (CE)."
study_information,acceso_a_y_uso_de_atencin_mdica,,descriptive,"Esta encuesta pregunta sobre Acceso y Uso de la Atención Médica. Esto es para mejor entender como esta podría afectar la salud. Para asegurar su privacidad, su nombre se separará de sus respuestas antes de compartirlas con los investigadores.

Responder a las siguientes preguntas le tomará de 10 a 15 minutos. Por favor, responda cada pregunta de la manera más honesta posible. Para cualquiera de estas preguntas no hay respuestas correctas o incorrectas. Es importante que responda a todas las preguntas que pueda. Estamos buscando sus propias respuestas, y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomar mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas.",,,,,,,,,,,,,
insurance_insuranceaccepted,acceso_a_y_uso_de_atencin_mdica,,radio,"DURANTE LOS ÚLTIMOS 12 MESES, algún consultorio médico o proveedor de atención médica le informo que no aceptaba su plan médico?","InsuranceAccepted_Yes, Sí | InsuranceAccepted_No, No | PMI_Dontknow, No sé",,,,,,,,LV,,,,
insurance_healthcarecoverage,acceso_a_y_uso_de_atencin_mdica,,radio,"¿Cómo compararía el seguro médico o plan médico que tiene ahora con el que tenía hace un año? ¿Es mejor, peor o igual?","HealthcareCoverage_Better, Mejor | HealthcareCoverage_Worse, Peor | HealthcareCoverage_AboutTheSame, Casi igual | PMI_Dontknow, No sé",,,,,,,,LV,,,,
healthadvice_placeforhealthadvice,acceso_a_y_uso_de_atencin_mdica,,radio,"POR LO GENERAL, ¿hay algún lugar a donde usted acostumbra ir cuando se siente mal o necesita una consulta sobre su salud?","PlaceforHealthAdvice_Yes, Sí | PlaceforHealthAdvice_No, No hay un lugar | PlaceforHealthAdvice_MoreThanOne, Hay más de un lugar | PMI_Dontknow, No sé",,,,,,,,LV,,,,
healthadvice_whatkindofplace,acceso_a_y_uso_de_atencin_mdica,,radio,"¿A qué tipo de lugar va con más frecuencia?","WhatKindOfPlace_DoctorsOffice, Consultorio médico, clínica o centro de salud | WhatKindOfPlace_UrgentCare, Servicio de urgencias o clínica de atención rápida (minute clinic) | WhatKindOfPlace_EmergencyRoom, Sala de emergencia de un hospital | WhatKindOfPlace_SomeOtherPlace, Otro lugar | WhatKindOfPlace_NoOnePlaceMostOften, No voy con frecuencia a un solo lugar | PMI_Dontknow, No sé",,,,,,"[healthadvice_placeforhealthadvice] = 'PlaceforHealthAdvice_Yes' or [healthadvice_placeforhealthadvice] = 'PlaceforHealthAdvice_MoreThanOne' or [healthadvice_placeforhealthadvice] = 'PMI_Dontknow'",,LV,,,,
healthadvice_spokentoprofessional,acceso_a_y_uso_de_atencin_mdica,,radio,"Aproximadamente, ¿cuánto tiempo ha pasado desde la última vez que visitó o habló con un médico u otro proveedor de atención médica sobre su salud?","SpokenToProfessional_Never, Nunca | SpokenToProfessional_6moOrLess, 6 meses o menos | SpokenToProfessional_6MoTo1YearAgo, Más de 6 meses, pero no más de 1 año | SpokenToProfessional_1To2YearsAgo, Más de 1 año, pero no más de 2 años | SpokenToProfessional_2To5YearsAgo, Más de 2 años, pero no más de 5 años | SpokenToProfessional_MoreThan5YearsAgo, Más de 5 años | PMI_Dontknow, No sé",,,,,,,,LV,,,,
healthadvice_spokentogeneraldoctor,acceso_a_y_uso_de_atencin_mdica,"DURANTE LOS ÚLTIMOS 12 MESES, ¿visitó o habló con alguno de los siguientes médicos o proveedores de atención médica sobre su salud? ",radio,"¿Un médico general que trata varias enfermedades (medicina general, atención primaria, medicina familiar o medicina interna)?

Help text: Un proveedor de salud que consulta a pacientes adultos para exámenes de su bienestar y el tratamiento de enfermedades.","SpokenToGeneralDoctor_Yes, Sí | SpokenToGeneralDoctor_No, No | PMI_Dontknow, No sé",,,,,,"[healthadvice_spokentoprofessional] = 'SpokenToProfessional_6moOrLess' or [healthadvice_spokentoprofessional] = 'SpokenToProfessional_6MoTo1YearAgo' or [healthadvice_spokentoprofessional] = 'PMI_Dontknow'",,LV,,,,
healthadvice_generaldoctorvisits,acceso_a_y_uso_de_atencin_mdica,,radio,"En los últimos 12 meses, ¿cuántas veces visitó a un médico general?","GeneralDoctorVisits_1, 1 | GeneralDoctorVisits_2to3, 2-3 | GeneralDoctorVisits_4to5, 4-5 | GeneralDoctorVisits_6to7, 6-7 | GeneralDoctorVisits_8to9, 8-9 | GeneralDoctorVisits_10to12, 10-12 | GeneralDoctorVisits_13to15, 13-15 | GeneralDoctorVisits_16orMore, 16 o más | PMI_Dontknow, No sé",,,,,,"[healthadvice_spokentogeneraldoctor] = 'SpokenToGeneralDoctor_Yes'",,LV,,,,
