field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,estilo_de_vida,,text,"Record ID",,,,,,,,,LV,,,,
lifestyle,estilo_de_vida,,descriptive,"Estilo de Vida",,,,,,,,,,,,,"Launched 5/30/2017 (PTSC) & 12/10/2019 (CE)."
lifestyle_intro,estilo_de_vida,,descriptive,"Esta encuesta le hace preguntas sobre su consumo de tabaco, alcohol y drogas. Esta información nos sirve para comprender mejor cómo estos aspectos pueden afectar su salud. Para asegurar su privacidad, su nombre se separará de sus respuestas antes de compartirlas con los investigadores.

Responder a las siguientes preguntas le llevará como 5-10 minutos. Por favor responda cada pregunta lo más honesto posible. Para cualquiera de estas preguntas no hay respuestas correctas o incorrectas. Es importante que responda todas las preguntas que pueda. Estamos buscando sus propias respuestas, y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomar mucho tiempo para cada pregunta. La primera respuesta que se le ocurre es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas.",,,,,,,,,,,,,
smoking_100cigslifetime,estilo_de_vida,,radio,"¿Ha fumado usted al menos 100 cigarrillos en toda su vida? (Cada paquete tiene 20 cigarrillos)","100CigsLifetime_Yes, Sí | 100CigsLifetime_No, No | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no contester",,,,,,,,LV,,,,
smoking_smokefrequency,estilo_de_vida,,radio,"Actualmente, ¿Con qué frecuencia fuma usted cigarrillos? ","SmokeFrequency_EveryDay, Todos los días | SmokeFrequency_SomeDays, Algunos días | SmokeFrequency_NotAtAll, Nunca | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no contestar",,,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
smoking_dailysmokestartingage,estilo_de_vida,,radio,"¿Qué edad tenía usted cuando empezó a fumar cigarrillos regularmente?","smoking_dailysmokestartingage_enterage, Escriba una respuesta | Smoking_DailySmokeStartingAgeDontKnow, No sé | Smoking_DailySmokeStartingAgePreferNotToAnswer, Prefiero no contestar",,,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
smoking_dailysmokestartingagenumber,estilo_de_vida,,text,"Anote la edad",,,integer,1,99,,"[smoking_dailysmokestartingage] = 'smoking_dailysmokestartingage_enterage'",,LV,,,,
smoking_seriousquitattempt,estilo_de_vida,,radio,"En el pasado, ¿alguna vez ha intentado seriamente dejar de fumar? Es decir, ¿ha dejado de fumar durante un día o más porque estaba tratando de dejar de fumar? ","SeriousQuitAttempt_AttemptQuitSmoking, Sí | SeriousQuitAttempt_NoAttemptQuitSmoking, No | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no contestar",,,,,,"[smoking_100cigslifetime] = '100CigsLifetime_Yes'",,LV,,,,
attemptquitsmoking_completelyquit,estilo_de_vida,,radio,"Si ha dejado por completo de fumar cigarrillos, ¿qué edad tenía cuando lo dejó? ","attemptquitsmoking_completelyquitage, Escriba una respuesta | AttemptQuitSmoking_CompletelyQuitAgeDontKnow, No sé | AttemptQuitSmoking_CompletelyQuitAgePreferNotToAnswer, Prefiero no responder",,,,,,"[smoking_seriousquitattempt] = 'SeriousQuitAttempt_AttemptQuitSmoking'",,LV,,,,
attemptquitsmoking_completelyquitage,estilo_de_vida,,text,"Edad a la que dejó de fumar",,,integer,1,99,,"[attemptquitsmoking_completelyquit] = 'attemptquitsmoking_completelyquit_enterage'",,LV,,,,
