field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,personal_and_family_health_history,,text,"Record ID",,,,,,,,,,,,,
personalfamilyhistory,personal_and_family_health_history,,descriptive,"Historia de salud personal y familiar",,,,,,,,,,,,,
familyhistory_familymedicalhistoryaware,personal_and_family_health_history,"Por favor, responda cada pregunta de la manera más honesta posible. No hay respuestas correctas ni incorrectas para cualquiera de estas preguntas. Es importante que responda a todas las preguntas que pueda. Estamos buscando sus propias respuestas y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomarse mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Algunas preguntas le permiten decir que no sabe la respuesta o que prefiere no responder.

Esta encuesta le pregunta sobre su historia médica personal y de su familia, incluyendo los problemas de salud que usted, sus padres, abuelos, hermanos, o hijos biológicos padecen actualmente o han padecido en el pasado. Aprender acerca de sus experiencias y las de su familia con los problemas médicos, puede informarnos acerca de los tipos de problemas médicos que podrían estar relacionados con su genética. La genética tiene que ver con las características que se transmiten de generación en generación en una familia.

Las siguientes preguntas son sobre usted y su familia. Solo piense en los miembros de su familia con los que tiene un lazo sanguíneo, incluidos los vivos y los que han fallecido.",radio,"¿Cuánta información conoce sobre las enfermedades o problemas de salud de los siguientes miembros de su familia: padres, abuelos, hermanos, hermanas e hijos?
","FamilyMedicalHistoryAware_Alot, Mucho | FamilyMedicalHistoryAware_Some, Algo | FamilyMedicalHistoryAware_None, Nada",,,,,,,,,,,,
diagnosedhealthcondition_cancercondition,personal_and_family_health_history,"Tipos de cáncer",checkbox,"Por favor indique si usted o alguna persona de su familia ha sido diagnosticada con uno de los siguientes tipos de cáncer. Solo piense en los miembros de su familia con los que comparte un lazo sanguíneo. Elija todas las opciones que correspondan.","CancerCondition_BladderCancer, Cáncer de vejiga | CancerCondition_BloodCancer, Cáncer de sangre o de los tejidos blandos | CancerCondition_BoneCancer, Cáncer de huesos | CancerCondition_BrainCancer, Cáncer de cerebro | CancerCondition_BreastCancer, Cáncer de mama | CancerCondition_CervicalCancer, Cáncer de útero (matriz) | CancerCondition_ColonRectalCancer, Cáncer de colon/Cáncer de recto | CancerCondition_EndocrineCancer, Cáncer del sistema endócrino | CancerCondition_EndometrialCancer, Cáncer endometrial | CancerCondition_EsophagealCancer, Cáncer de esófago | CancerCondition_EyeCancer, Cáncer de ojo | CancerCondition_HeadNeckCancer, Cabeza y cuello (esto incluye cáncer de boca, seno paranasal, nasal o de garganta. No incluye cáncer de cerebro.) | CancerCondition_KidneyCancer, Cáncer de riñón | CancerCondition_LungCancer, Cáncer de pulmón | CancerCondition_OvarianCancer, Cáncer de ovario | CancerCondition_PancreaticCancer, Cáncer de páncreas | CancerCondition_ProstateCancer, Cáncer de próstata | CancerCondition_SkinCancer, Cáncer de piel | CancerCondition_StomachCancer, Cáncer de estómago | CancerCondition_ThyroidCancer, Cáncer de tiroides | CancerCondition_OtherCancer, Otro tipo de cáncer | PMI_None, Ninguna de las opciones | PMI_DontKnow, No sé | PMI_PreferNotToAnswer, Prefiero no responder",,,,,,,,,,,,"@NONEOFTHEABOVE='PMI_None,PMI_DontKnow,PMI_PreferNotToAnswer'"
cancercondition_bladdercancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de vejiga? Elija todas las opciones que correspondan.","CancerConditions_BladderCancer, Yo | MotherCancerCondition_BladderCancer, Madre | FatherCancerCondition_BladderCancer, Padre | SiblingCancerCondition_BladderCancer, Hermano(a) | DaughterCancerCondition_BladderCancer, Hija | SonCancerCondition_BladderCancer, Hijo | GrandparentCancerCondition_BladderCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BladderCancer)] = '1'",,,,,,
cancer_bladdercancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de vejiga? ","BladderCancerCurrently_Yes, Sí | BladderCancerCurrently_No, No",,,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancer_howoldwereyoubladdercancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de vejiga?","HowOldWereYouBladderCancer_Child, Niño (0-11) | HowOldWereYouBladderCancer_Adolescent, Adolescente (12-17) | HowOldWereYouBladderCancer_Adult, Adulto (18-64) | HowOldWereYouBladderCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouBladderCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancer_rxmedsforbladdercancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de vejiga?","RxMedsforBladderCancer_Yes, Sí | RxMedsforBladderCancer_No, No",,,,,,"[cancercondition_bladdercancer_yes(CancerConditions_BladderCancer)] = '1'",,,,,,
cancercondition_bloodcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de sangre o de los tejidos blandos? Elija todas las opciones que correspondan.","CancerConditions_BloodCancer, Yo | MotherCancerCondition_BloodCancer, Madre | FatherCancerCondition_BloodCancer, Padre | SiblingCancerCondition_BloodCancer, Hermano(a) | DaughterCancerCondition_BloodCancer, Hija | SonCancerCondition_BloodCancer, Hijo | GrandparentCancerCondition_BloodCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BloodCancer)] = '1'",,,,,,
cancer_bloodcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de la sangre o de los tejidos blandos?","BloodCancerCurrently_Yes, Sí | BloodCancerCurrently_No, No",,,,,,"[cancercondition_bloodcancer_yes(CancerConditions_BloodCancer)] = '1'",,,,,,
cancer_howoldwereyoubloodcancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de sangre o de los tejidos blandos?","HowOldWereYouBloodCancer_Child, Niño (0-11) | HowOldWereYouBloodCancer_Adolescent, Adolescente (12-17) | HowOldWereYouBloodCancer_Adult, Adulto (18-64) | HowOldWereYouBloodCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouBloodCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_bloodcancer_yes(CancerConditions_BloodCancer)] = '1'",,,,,,
cancer_rxmedsforbloodcancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de sangre o de los tejidos blandos? ","RxMedsforBloodCancer_Yes, Sí | RxMedsforBloodCancer_No, No",,,,,,"[cancercondition_bloodcancer_yes(CancerConditions_BloodCancer)] = '1'",,,,,,
cancercondition_bonecancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de huesos? Elija todas las opciones que correspondan.","CancerConditions_BoneCancer, Yo | MotherCancerCondition_BoneCancer, Madre | FatherCancerCondition_BoneCancer, Padre | SiblingCancerCondition_BoneCancer, Hermano(a) | DaughterCancerCondition_BoneCancer, Hija | SonCancerCondition_BoneCancer, Hijo | GrandparentCancerCondition_BoneCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BoneCancer)] = '1'",,,,,,
cancer_bonecancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de huesos? ","BoneCancerCurrently_Yes, Sí | BoneCancerCurrently_No, No",,,,,,"[cancercondition_bonecancer_yes(CancerConditions_BoneCancer)] = '1'",,,,,,
cancer_howoldwereyoubonecancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de huesos?","HowOldWereYouBoneCancer_Child, Niño (0-11) | HowOldWereYouBoneCancer_Adolescent, Adolescente (12-17) | HowOldWereYouBoneCancer_Adult, Adulto (18-64) | HowOldWereYouBoneCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouBoneCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_bonecancer_yes(CancerConditions_BoneCancer)] = '1'",,,,,,
cancer_rxmedsforbonecancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de huesos? ","RxMedsforBoneCancer_Yes, Sí | RxMedsforBoneCancer_No, No",,,,,,"[cancercondition_bonecancer_yes(CancerConditions_BoneCancer)] = '1'",,,,,,
cancercondition_braincancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de cerebro? ","CancerConditions_BrainCancer, Yo | MotherCancerCondition_BrainCancer, Madre | FatherCancerCondition_BrainCancer, Padre | SiblingCancerCondition_BrainCancer, Hermano(a) | DaughterCancerCondition_BrainCancer, Hija | SonCancerCondition_BrainCancer, Hijo | GrandparentCancerCondition_BrainCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BrainCancer)] = '1'",,,,,,
cancer_braincancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de cerebro?","BrainCancerCurrently_Yes, Sí | BrainCancerCurrently_No, No",,,,,,"[cancercondition_braincancer_yes(CancerConditions_BrainCancer)] = '1'",,,,,,
cancer_howoldwereyoubraincancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de cerebro?","HowOldWereYouBrainCancer_Child, Niño (0-11) | HowOldWereYouBrainCancer_Adolescent, Adolescente (12-17) | HowOldWereYouBrainCancer_Adult, Adulto (18-64) | HowOldWereYouBrainCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouBrainCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_braincancer_yes(CancerConditions_BrainCancer)] = '1'",,,,,,
cancer_rxmedsforbraincancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de cerebro? ","RxMedsforBrainCancer_Yes, Sí | RxMedsforBrainCancer_No, No",,,,,,"[cancercondition_braincancer_yes(CancerConditions_BrainCancer)] = '1'",,,,,,
cancercondition_breastcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de mama? Elija todas las opciones que correspondan.","CancerConditions_BreastCancer, Yo | MotherCancerCondition_BreastCancer, Madre | FatherCancerCondition_BreastCancer, Padre | SiblingCancerCondition_BreastCancer, Hermano(a) | DaughterCancerCondition_BreastCancer, Hija | SonCancerCondition_BreastCancer, Hijo | GrandparentCancerCondition_BreastCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_BreastCancer)] = '1'",,,,,,
cancer_breastcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de mama?","BreastCancerCurrently_Yes, Sí | BreastCancerCurrently_No, No",,,,,,"[cancercondition_breastcancer_yes(CancerConditions_BreastCancer)] = '1'",,,,,,
cancer_howoldwereyoubreastcancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de mama?","HowOldWereYouBreastCancer_Child, Niño (0-11) | HowOldWereYouBreastCancer_Adolescent, Adolescente (12-17) | HowOldWereYouBreastCancer_Adult, Adulto (18-64) | HowOldWereYouBreastCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouBreastCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_breastcancer_yes(CancerConditions_BreastCancer)] = '1'",,,,,,
cancer_rxmedsforbreastcancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de mama? ","RxMedsforBreastCancer_Yes, Sí | RxMedsforBreastCancer_No, No",,,,,,"[cancercondition_breastcancer_yes(CancerConditions_BreastCancer)] = '1'",,,,,,
cancercondition_cervicalcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de útero (matriz)? Elija todas las opciones que correspondan.","CancerConditions_CervicalCancer, Yo | MotherCancerCondition_CervicalCancer, Madre | SiblingCancerCondition_CervicalCancer, Hermana | DaughterCancerCondition_CervicalCancer, Hija | GrandparentCancerCondition_CervicalCancer, Abuela",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_CervicalCancer)] = '1'",,,,,,
cancer_cervicalcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de útero (matriz)? ","CervicalCancerCurrently_Yes, Sí | CervicalCancerCurrently_No, No",,,,,,"[cancercondition_cervicalcancer_yes(CancerConditions_CervicalCancer)] = '1'",,,,,,
cancer_howoldwereyoucervicalcancer,personal_and_family_health_history,,radio,"· ¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de útero (matriz)?","HowOldWereYouCervicalCancer_Child, Niño (0-11) | HowOldWereYouCervicalCancer_Adolescent, Adolescente (12-17) | HowOldWereYouCervicalCancer_Adult, Adulto (18-64) | HowOldWereYouCervicalCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouCervicalCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_cervicalcancer_yes(CancerConditions_CervicalCancer)] = '1'",,,,,,
cancer_rxmedsforcervicalcancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de útero (matriz)? ","RxMedsforCervicalCancer_Yes, Yes | RxMedsforCervicalCancer_No, No",,,,,,"[cancercondition_cervicalcancer_yes(CancerConditions_CervicalCancer)] = '1'",,,,,,
cancercondition_colonrectalcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de colon/cáncer de recto? Elija todas las opciones que correspondan.","CancerConditions_ColonRectalCancer, Yo | MotherCancerCondition_ColonRectalCancer, Madre | FatherCancerCondition_ColonRectalCancer, Padre | SiblingCancerCondition_ColonRectalCancer, Hermano(a) | DaughterCancerCondition_ColonRectalCancer, Hija | SonCancerCondition_ColonRectalCancer, Hijo | GrandparentCancerCondition_ColonRectalCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_ColonRectalCancer)] = '1'",,,,,,
cancer_colonrectalcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de colon/cáncer de recto? ","ColonRectalCancerCurrently_Yes, Sí | ColonRectalCancerCurrently_No, No",,,,,,"[cancercondition_colonrectalcancer_yes(CancerConditions_ColonRectalCancer)] = '1'",,,,,,
cancer_howoldwereyoucolonrectalcancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer de colon/cáncer de recto?","HowOldWereYouColonRectalCancer_Child, Niño (0-11) | HowOldWereYouColonRectalCancer_Adolescent, Adolescente (12-17) | HowOldWereYouColonRectalCancer_Adult, Adulto (18-64) | HowOldWereYouColonRectalCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouColonRectalCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_colonrectalcancer_yes(CancerConditions_ColonRectalCancer)] = '1'",,,,,,
cancer_rxmedsforcolonrectalcancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer de colon/cáncer de recto?","RxMedsforColonRectalCancer_Yes, Sí | RxMedsforColonRectalCancer_No, No",,,,,,"[cancercondition_colonrectalcancer_yes(CancerConditions_ColonRectalCancer)] = '1'",,,,,,
cancercondition_endocrinecancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer del sistema endócrino? Elija todas las opciones que correspondan.","CancerConditions_EndocrineCancer, Yo | MotherCancerCondition_EndocrineCancer, Madre | FatherCancerCondition_EndocrineCancer, Padre | SiblingCancerCondition_EndocrineCancer, Hermano(a) | DaughterCancerCondition_EndocrineCancer, Hija | SonCancerCondition_EndocrineCancer, Hijo | GrandparentCancerCondition_EndocrineCancer, Abuelo(a)",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndocrineCancer)] = '1'",,,,,,
cancer_endocrinecancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer del sistema endócrino?","EndocrineCancerCurrently_Yes, Sí | EndocrineCancerCurrently_No, No",,,,,,"[cancercondition_endocrinecancer_yes(CancerConditions_EndocrineCancer)] = '1'",,,,,,
cancer_howoldwereyouendocrinecancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer del sistema endócrino?","HowOldWereYouEndocrineCancer_Child, Niño (0-11) | HowOldWereYouEndocrineCancer_Adolescent, Adolescente (12-17) | HowOldWereYouEndocrineCancer_Adult, Adulto (18-64) | HowOldWereYouEndocrineCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouEndocrineCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_endocrinecancer_yes(CancerConditions_EndocrineCancer)] = '1'",,,,,,
cancer_rxmedsforendocrinecancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer del sistema endócrino?","RxMedsforEndocrineCancer_Yes, Sí | RxMedsforEndocrineCancer_No, No",,,,,,"[cancercondition_endocrinecancer_yes(CancerConditions_EndocrineCancer)] = '1'",,,,,,
cancercondition_endometrialcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer endometrial? Elija todas las opciones que correspondan.","CancerConditions_EndometrialCancer, Yo | MotherCancerCondition_EndometrialCancer, Madre | SiblingCancerCondition_EndometrialCancer, Hermana | DaughterCancerCondition_EndometrialCancer, Hija | GrandparentCancerCondition_EndometrialCancer, Abuela",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EndometrialCancer)] = '1'",,,,,,
cancer_endometrialcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer endometrial? ","EndometrialCancerCurrently_Yes, Sí | EndometrialCancerCurrently_No, No",,,,,,"[cancercondition_endometrialcancer_yes(CancerConditions_EndometrialCancer)] = '1'",,,,,,
cancer_howoldwereyouendometrialcancer,personal_and_family_health_history,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía cáncer endometrial?","HowOldWereYouEndometrialCancer_Child, Niño (0-11) | HowOldWereYouEndometrialCancer_Adolescent, Adolescente (12-17) | HowOldWereYouEndometrialCancer_Adult, Adulto (18-64) | HowOldWereYouEndometrialCancer_OlderAdult, Adulto mayor (65-74) | HowOldWereYouEndometrialCancer_Elderly, Tercera edad (75+)",,,,,,"[cancercondition_endometrialcancer_yes(CancerConditions_EndometrialCancer)] = '1'",,,,,,
cancer_rxmedsforendometrialcancer,personal_and_family_health_history,,radio,"¿Actualmente tiene medicamentos recetados y/o recibe tratamiento para el cáncer endometrial?","RxMedsforEndometrialCancer_Yes, Sí | RxMedsforEndometrialCancer_No, No",,,,,,"[cancercondition_endometrialcancer_yes(CancerConditions_EndometrialCancer)] = '1'",,,,,,
cancercondition_esophagealcancer_yes,personal_and_family_health_history,,checkbox,"Incluyendo a usted, ¿quién en su familia ha tenido cáncer de esófago? Elija todas las opciones que correspondan.","CancerConditions_EsophagealCancer, Yo | MotherCancerCondition_EsophagealCancer, Madre | FatherCancerCondition_EsophagealCancer, Padre | SiblingCancerCondition_EsophagealCancer, Hermano | DaughterCancerCondition_EsophagealCancer, Hija | SonCancerCondition_EsophagealCancer, Hijo | GrandparentCancerCondition_EsophagealCancer, Abuelo",,,,,,"[diagnosedhealthcondition_cancercondition(CancerCondition_EsophagealCancer)] = '1'",,,,,,
cancer_esophagealcancercurrently,personal_and_family_health_history,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para el cáncer de esófago?","EsophagealCancerCurrently_Yes, Sí | EsophagealCancerCurrently_No, No",,,,,,"[cancercondition_esophagealcancer_yes(CancerConditions_EsophagealCancer)] = '1'",,,,,,
