field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,social_determinants_of_health_spanish,,text,"Record ID",,,,,,,,,,,,,
sdoh,social_determinants_of_health_spanish,,text,"Determinantes sociales de la salud",,,,,,,,,,,,,
sdoh_intro,social_determinants_of_health_spanish,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Gracias (nuevamente) por participar en el Programa Científico <em>All of Us</em>. Hay muchas razones por las que podemos enfermarnos o mantenernos sanos. Por ejemplo, el lugar donde nació o donde vive, estudia o trabaja puede afectar su salud. A veces, estos son llamados factores o “determinantes sociales” de la salud. Para ayudarnos a obtener más información, responda esta encuesta sobre su vecindario, su vida social, su nivel de estrés y sus sentimientos respecto de su vida diaria. Le tomará aproximadamente 20 minutos completarlo.</span></p> <p><span style=""font-weight: normal;"">Responda cada pregunta de la manera más honesta posible. Es importante que responda tantas preguntas como le sea posible. Estamos buscando sus propias respuestas, y no lo que piensan sus doctores, familiares o amigos.</span></p> <p><span style=""font-weight: normal;"">No sienta que tiene que tomar mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) de cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Algunas de estas preguntas podrían ser delicadas. Puede elegir no responder ninguna pregunta.</span></p></div>",,,,,,,,y,,,,,
scns_1,social_determinants_of_health_spanish,"El vecindario donde usted vive puede influir en su salud. Al compartir detalles sobre su vecindario, puede ayudar a los investigadores científicos a entender mejor la relación entre el lugar donde vive una persona y su bienestar general.

Los siguientes enunciados describen cómo es su vecindario. Díganos hasta qué punto está de acuerdo o en desacuerdo.
",radio,"Las personas de por aquí están dispuestas a ayudar a sus vecinos. ","SDOH_1, Absolutamente de acuerdo | SDOH_2, De acuerdo | SDOH_3, Neutral (ni de acuerdo ni en desacuerdo) | SDOH_4, En desacuerdo | SDOH_5, Absolutamente en desacuerdo",,,,,,,,,,,,
scns_2,social_determinants_of_health_spanish,,radio,"Las personas de mi vecindario son de confianza. ","SDOH_1, Absolutamente de acuerdo | SDOH_2, De acuerdo | SDOH_3, Neutral (ni de acuerdo ni en desacuerdo) | SDOH_4, En desacuerdo | SDOH_5, Absolutamente en desacuerdo",,,,,,,,,,,,
scns_3,social_determinants_of_health_spanish,,radio,"Las personas de mi vecindario generalmente se llevan bien entre sí.","SDOH_1, Absolutamente de acuerdo | SDOH_2, De acuerdo | SDOH_3, Neutral (ni de acuerdo ni en desacuerdo) | SDOH_4, En desacuerdo | SDOH_5, Absolutamente en desacuerdo",,,,,,,,,,,,
scns_4,social_determinants_of_health_spanish,,radio,"Las personas de mi vecindario comparten los mismos valores.","SDOH_1, Absolutamente de acuerdo | SDOH_2, De acuerdo | SDOH_3, Neutral (ni de acuerdo ni en desacuerdo) | SDOH_4, En desacuerdo | SDOH_5, Absolutamente en desacuerdo",,,,,,,,,,,,
nds_1,social_determinants_of_health_spanish,,radio,"Hay mucho grafiti en mi vecindario.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_2,social_determinants_of_health_spanish,,radio,"Mi vecindario es muy ruidoso.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_3,social_determinants_of_health_spanish,,radio,"En mi vecindario es común el vandalismo.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_4,social_determinants_of_health_spanish,,radio,"Hay muchos edificios abandonados en mi vecindario.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_5,social_determinants_of_health_spanish,,radio,"Mi vecindario está limpio. ","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_6,social_determinants_of_health_spanish,,radio,"Las personas de mi vecindario cuidan bien de sus casas y apartamentos.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_7,social_determinants_of_health_spanish,,radio,"Hay demasiadas personas dando vueltas/merodeando en las calles cerca de mi vivienda.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_8,social_determinants_of_health_spanish,,radio,"Hay mucho crimen en mi vecindario.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_9,social_determinants_of_health_spanish,,radio,"Hay mucho consumo de drogas en mi vecindario.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_10,social_determinants_of_health_spanish,,radio,"Hay mucho consumo de alcohol en mi vecindario.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_11,social_determinants_of_health_spanish,,radio,"Siempre tengo problemas con mis vecinos.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_12,social_determinants_of_health_spanish,,radio,"En mi vecindario, las personas se cuidan entre sí.","SSDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
nds_13,social_determinants_of_health_spanish,,radio,"Mi vecindario es seguro.","SDOH_5, Absolutamente en desacuerdo; | SDOH_4, En desacuerdo | SDOH_2, De acuerdo | SDOH_1, Absolutamente de acuerdo",,,,,,,,,,,,
ips_1,social_determinants_of_health_spanish,"La siguiente pregunta es sobre lo que hay en su vecindario. Al responder, piense en las áreas alrededor de su vivienda donde puede llegar caminando en 10 a 15 minutos.",radio,"¿Cuál es el principal tipo de vivienda en su vecindario?","SDOH_10, Casas unifamiliares (no comparten paredes con otras casas) | SDOH_11, Casas dúplex (dos o más casas pegadas), casas adosadas en línea (casas que comparten pared), apartamentos o condominios de 2-3 pisos | SDOH_12, Combinación de viviendas unifamiliares, casas dúplex, casas adosadas en línea, apartamentos o condominios | SDOH_13, Apartamentos o condominios de 4-12 pisos | SDOH_14, Apartamentos o condominios de más de 12 pisos | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_2,social_determinants_of_health_spanish,,radio,"Puedo ir caminando a las tiendas, mercados u otros sitios que están cerca de mi casa para comprar lo que necesito. Estoy...
","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_3,social_determinants_of_health_spanish,,radio,"Mi vivienda está a unos 10-15 minutos caminando de una parada del transporte público (como autobús, metro, tren o tranvía). Estoy...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_4,social_determinants_of_health_spanish,,radio,"La mayoría de las calles de mi vecindario tiene acera/banqueta (para caminar). Estoy...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_5,social_determinants_of_health_spanish,,radio,"En mi vecindario o cerca de donde vivo hay lugares para circular con bicicleta, como carriles específicos, senderos o caminos separados o sendas de uso compartido para ciclistas y peatones. Estoy...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | SDOH_9, No es el caso de mi vecindario; | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_6,social_determinants_of_health_spanish,,radio,"Mi vecindario tiene muchos lugares de recreo gratuitos o de bajo costo, como parques, senderos para caminar, carriles para bicicletas, centros recreativos, parques infantiles, piscinas públicas, etc. Estoy...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_7,social_determinants_of_health_spanish,,radio,"Debido al índice de criminalidad en mi vecindario, no es seguro salir a caminar por las noches. Estoy ...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
ips_16,social_determinants_of_health_spanish,,radio,"Debido al índice de criminalidad en mi vecindario, no es seguro salir a caminar durante el día. Estoy ...","SDOH_5, Absolutamente en desacuerdo | SDOH_6, Algo en desacuerdo | SDOH_7, Algo de acuerdo | SDOH_1, Absolutamente de acuerdo | PMI_DontKnow, No lo sé/no estoy seguro",,,,,,,,,,,,
sdoh_mos_ss_1,social_determinants_of_health_spanish,"Las relaciones de apoyo pueden desempeñar un papel importante para ayudar a las personas a llevar una vida saludable. Al responder a las siguientes preguntas podría ayudar a los investigadores científicos a aprender más sobre cómo las relaciones de apoyo benefician a la salud.

A veces, las personas buscan amistad y ayuda u otro tipo de apoyo en otras personas. Elija la respuesta que mejor indica qué tan fácil es encontrar este tipo de apoyo si lo necesita.
",radio,"Alguien que lo ayude si estuviera postrado en la cama ","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_2,social_determinants_of_health_spanish,,radio,"Alguien que lo lleve al médico si lo necesitara","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_3,social_determinants_of_health_spanish,,radio,"Alguien que le prepare las comidas si usted no pudiera hacerlo solo","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_4,social_determinants_of_health_spanish,,radio,"Alguien que lo ayude con las tareas diarias si estuviese enfermo ","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_5,social_determinants_of_health_spanish,,radio,"Alguien con quien pasar un buen rato","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_6,social_determinants_of_health_spanish,,radio,"Alguien a quien pedir consejos sobre cómo enfrentar un problema personal","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_7,social_determinants_of_health_spanish,,radio,"Alguien que entienda sus problemas","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_mos_ss_8,social_determinants_of_health_spanish,,radio,"Alguien a quien amar y que lo haga sentirse querido","SDOH_15, Nunca | SDOH_16, Pocas veces | SDOH_17, A veces | SDOH_18, La mayoría del tiempo | SDOH_19, Siempre",,,,,,,,,,,,
sdoh_ucla_ls8_2,social_determinants_of_health_spanish,"Quisiéramos hacerle algunas preguntas sobre su relación con otras personas. Escoja la respuesta adecuada a su situación.",radio,"Me falta compañía","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_3,social_determinants_of_health_spanish,,radio,"No tengo a nadie en quién apoyarme","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_9,social_determinants_of_health_spanish,,radio,"Soy una persona sociable","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_11,social_determinants_of_health_spanish,,radio,"Me siento excluido","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_14,social_determinants_of_health_spanish,,radio,"Me siento aislado del resto","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_15,social_determinants_of_health_spanish,,radio,"Puedo encontrar compañía cuando quiero","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_17,social_determinants_of_health_spanish,,radio,"Me siento infeliz por estar tan aislado","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_ucla_ls8_18,social_determinants_of_health_spanish,,radio,"Tengo personas a mi alrededor, pero no cerca de mí","SDOH_20, Nunca | SDOH_21, Rara vez | SDOH_22, A veces | SDOH_23, A menudo",,,,,,,,,,,,
sdoh_eds_1,social_determinants_of_health_spanish,"Las personas que sufren discriminación podrían tener un mayor riesgo de padecer efectos negativos en su salud. Compartir sus experiencias con la discriminación en su vida cotidiana y en la atención médica puede ayudar a los investigadores científicos a aprender cómo reducir los efectos negativos de salud asociados con la discriminación.

Las siguientes oraciones describen cómo los demás lo tratan. En su vida diaria, ¿con qué frecuencia le ocurre algo de lo siguiente?",radio,"Lo tratan con menos cortesía que al resto de las personas.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_2,social_determinants_of_health_spanish,,radio,"Lo tratan con menos respeto que al resto de las personas.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_3,social_determinants_of_health_spanish,,radio,"Recibe un servicio más deficiente que otras personas en los restaurantes o tiendas","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_4,social_determinants_of_health_spanish,,radio,"Las personas actúan como si pensaran que usted no es inteligente.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_5,social_determinants_of_health_spanish,,radio,"Las personas actúan como si le tuvieran miedo.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_6,social_determinants_of_health_spanish,,radio,"Las personas actúan como si pensaran que usted es deshonesto. ","SDOH_24, Almost everyday | SDOH_25, At least once a week | SDOH_26, A few times a month | SDOH_27, A few times a year | SDOH_28, Less than once a year | SDOH_20, Never",,,,,,,,,,,,
sdoh_eds_7,social_determinants_of_health_spanish,,radio,"Las personas actúan como si fueran mejores que usted.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_8,social_determinants_of_health_spanish,,radio,"Le hacen burlas o lo insultan.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_9,social_determinants_of_health_spanish,,radio,"Lo amenazan o acosan.","SDOH_24, Casi a diario | SDOH_25, Al menos una vez a la semana | SDOH_26, Algunas veces al mes | SDOH_27, Algunas veces al año | SDOH_28, Menos de una vez al año | SDOH_20, Nunca",,,,,,,,,,,,
sdoh_eds_follow_up_1,social_determinants_of_health_spanish,,checkbox,"¿Cuál piensa que es el motivo principal de estas experiencias?","SDOH_29, Su ascendencia o nacionalidad | SDOH_30, Su género | SDOH_31, Su raza | SDOH_32, Su edad | SDOH_33, Su religión | SDOH_34, Su estatura | SDOH_35, Su peso | SDOH_36, Algún otro aspecto de su apariencia física | SDOH_37, Su orientación sexual | SDOH_38, Su nivel de educación o de ingresos | SDOH_39, Otro (especifique",,,,,,"[sdoh_eds_1] = 'SDOH_24' or [sdoh_eds_1] = 'SDOH_25' or [sdoh_eds_1] = 'SDOH_26' or [sdoh_eds_1] = 'SDOH_27' or [sdoh_eds_2] = 'SDOH_24' or [sdoh_eds_2] = 'SDOH_25' or [sdoh_eds_2] = 'SDOH_26' or [sdoh_eds_2] = 'SDOH_27' or [sdoh_eds_3] = 'SDOH_24' or [sdoh_eds_3] = 'SDOH_25' or [sdoh_eds_3] = 'SDOH_26' or [sdoh_eds_3] = 'SDOH_27' or [sdoh_eds_4] = 'SDOH_24' or [sdoh_eds_4] = 'SDOH_25' or [sdoh_eds_4] = 'SDOH_26' or [sdoh_eds_4] = 'SDOH_27' or [sdoh_eds_5] = 'SDOH_24' or [sdoh_eds_5] = 'SDOH_25' or [sdoh_eds_5] = 'SDOH_26' or [sdoh_eds_5] = 'SDOH_27' or [sdoh_eds_6] = 'SDOH_24' or [sdoh_eds_6] = 'SDOH_25' or [sdoh_eds_6] = 'SDOH_26' or [sdoh_eds_6] = 'SDOH_27' or [sdoh_eds_7] = 'SDOH_24' or [sdoh_eds_7] = 'SDOH_25' or [sdoh_eds_7] = 'SDOH_26' or [sdoh_eds_7] = 'SDOH_27' or [sdoh_eds_8] = 'SDOH_24' or [sdoh_eds_8] = 'SDOH_25' or [sdoh_eds_8] = 'SDOH_26' or [sdoh_eds_8] = 'SDOH_27' or [sdoh_eds_9] = 'SDOH_24' or [sdoh_eds_9] = 'SDOH_25' or [sdoh_eds_9] = 'SDOH_26' or [sdoh_eds_9] = 'SDOH_27'",,,,,,
sdoh_eds_follow_up_1_xx,social_determinants_of_health_spanish,,text,"Please specify.",,,,,,,"[sdoh_eds_follow_up_1(SDOH_39)] = '1'",,,,,,
sdoh_dms_1,social_determinants_of_health_spanish,"Los siguientes enunciados describen maneras en las que otros pueden tratarlo. ¿Qué tan a menudo le sucede lo siguiente cuando está en una consulta con un médico u otro proveedor de salud?",radio,"Lo tratan con menos cortesía que a otras personas.","SDOH_20, Nunca | SDOH_21, Pocas veces | SDOH_22, Algunas veces | SDOH_18, La mayoría de las veces | SDOH_40, Siempre",,,,,,,,,,,,
