field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,covid19_vaccine_survey,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine1,covid19_vaccine_survey,,descriptive,"COVID-19 Vaccine Survey",,,,,,,,,,,,,"Launched 6/10/2021-TBA (PTSC & CE)."
cdc_covid_xx_firstdose,covid19_vaccine_survey,"Gracias por ser parte del Programa Científico <i>All of Us</i>. Nos interesa tratar uno de los temas de salud más importantes de nuestro tiempo, la vacunación contra el coronavirus (COVID-19). Ayúdenos a aprender más al completar esta breve encuesta. Su participación en esta encuesta puede ayudar a los investigadores científicos de todo el mundo a entender mejor el impacto del coronavirus durante estos tiempos complicados. Esta encuesta toma alrededor de dos minutos para completarse.

Si es posible, tenga su tarjeta de vacunación a la mano al completar la encuesta.",radio,"¿Recibió la primera dosis de la vacuna contra el coronavirus (COVID-19)?","COPE_A_44, Sí | COPE_A_13, No | cope_a_334, No estoy seguro, yo participé en un estudio sobre la vacuna del coronavirus (COVID-19)",,,,,,,,,,,,
cdc_covid_xx_a_date1,covid19_vaccine_survey,,text,"Escriba la fecha en que se vacunó. Si no puede recordar la fecha exacta en la que recibió la vacuna, escriba una fecha aproximada.",,,date_mdy,2020-03-01,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_firstdose,covid19_vaccine_survey,,radio,"¿Qué vacuna recibió en su primera dosis de la vacunación contra el coronavirus (COVID-19)?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Otra | COPE_A_52, No sé",,,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_firstdose_other,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[cdc_covid_xx_b_firstdose] = 'COPE_A_204'",,,,,,
cdc_covid_xx_symptom,covid19_vaccine_survey,,checkbox,"¿Ha experimentado alguna de las siguientes reacciones adversas desde que recibió su primera dosis de la vacuna contra el coronavirus (COVID-19)? Elija todas las opciones que correspondan.","cope_a_337, Inflamación, enrojecimiento y/o dolor en el lugar donde le aplicaron la vacuna | cope_a_338, Fiebre | cope_a_339, Síndrome de Guillain-Barré | cope_a_340, Dolor de cabeza | cope_a_341, Cansancio | cope_a_342, Dolor muscular | cope_a_343, Escalofríos | cope_a_344, Náuseas | cope_a_345, Reacción alérgica grave (anafilaxia) | cope_a_346, Desmayo o mareos | cope_a_347, Síndrome inflamatorio multisistémico | cope_a_348, Contagio de coronavirus (COVID-19) | cope_a_349, Hospitalización | cope_a_350, Otro evento o complicación después de recibir la vacuna | COPE_A_236, Ninguna de las opciones anteriores",,,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_44' or [cdc_covid_xx_b_firstdose] = 'cope_a_336'",,,,,,@NONEOFTHEABOVE=COPE_A_236
cdc_covid_xx_symptom_cope_350,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[cdc_covid_xx_symptom(cope_a_350)] = '1'",,,,,,
cdc_covid_xx_seconddose,covid19_vaccine_survey,,radio,"¿Recibió la segunda dosis de la vacuna contra el coronavirus (COVID-19)?
","COPE_A_44, Sí | COPE_A_13, No",,,,,,"[cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204'",,,,,,
cdc_covid_xx_a_date2,covid19_vaccine_survey,,text,"Escriba la fecha en que se vacunó. Si no puede recordar la fecha exacta en la que recibió la vacuna, escriba una fecha aproximada.",,"Need to ensure both platforms add logic to restrict the date entry to at least >2 weeks (or whichever is the minimum amount of time between dosing).",date_mdy,2020-03-01,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_seconddose,covid19_vaccine_survey,,radio,"¿Qué vacuna recibió en su segunda dosis de la vacunación contra el coronavirus (COVID-19)?","cope_a_335, AstraZeneca | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Otra | COPE_A_52, No sé",,,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_seconddose_other,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[cdc_covid_xx_b_seconddose] = 'COPE_A_204'",,,,,,
cdc_covid_xx_symptom_seconddose,covid19_vaccine_survey,,checkbox,"¿Ha experimentado alguna de las siguientes reacciones adversas desde que recibió su segunda dosis de la vacuna contra el coronavirus (COVID-19)? Elija todas las opciones que correspondan.","cope_a_337, Inflamación, enrojecimiento y/o dolor en el lugar donde le aplicaron la vacuna | cope_a_338, Fiebre | cope_a_339, Síndrome de Guillain-Barré | cope_a_340, Dolor de cabeza | cope_a_341, Cansancio | cope_a_342, Dolor muscular | cope_a_343, Escalofríos | cope_a_344, Náuseas | cope_a_345, Reacción alérgica grave (anafilaxia) | cope_a_346, Desmayo o mareos | cope_a_347, Síndrome inflamatorio multisistémico | cope_a_348, Contagio de coronavirus (COVID-19) | cope_a_349, Hospitalización | cope_a_350, Otro evento o complicación después de recibir la vacuna | COPE_A_236, Ninguna de las opciones anteriores",,,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE=COPE_A_236
cdc_covid_xx_symptom_seconddose_cope_350,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[cdc_covid_xx_symptom_seconddose(cope_a_350)] = '1'",,,,,,
dmfs_xx_1,covid19_vaccine_survey,,radio,"Cuando la vacuna contra el coronavirus (COVID-19) esté disponible para usted, ¿qué tan probable es que usted quiera recibir la vacuna?","cope_a_318, Muy probable | cope_a_317, Probable | cope_a_273, No lo sé todavía | cope_a_315, Poco probable | cope_a_316, Muy poco probable",,,,,,"[cdc_covid_xx_firstdose] = 'COPE_A_13' or [cdc_covid_xx_firstdose] = 'cope_a_334'",,,,,,
dmfs_29,covid19_vaccine_survey,,checkbox,"¿Qué factores hacen que sea poco probable que usted se vacune? Elija todas las opciones que correspondan.","cope_a_303, No me voy a enfermar/Nunca me enfermo. | cope_a_290, Es solo un virus/no es mortal/no es necesario. | cope_a_291, Nunca me vacuno. | cope_a_292, No confío en la vacuna. | cope_a_293, No la quiero pagar. | cope_a_295, La ubicación del lugar donde se ponen las vacunas no me es conveniente. | cope_a_354, Es difícil conseguir una cita | cope_a_288, Depende de los riesgos/eventos adversos. | cope_a_297, Todavía no he pensado en ello. | cope_a_298, No pertenezco a un grupo de riesgo con enfermedades preexistentes. | cope_a_299, Primero necesito más información. | cope_a_301, Ya he tenido COVID-19 | cope_a_302, Voy a dejar que otros la reciban primero (inmunidad colectiva). | cope_a_351, He tenido reacciones alérgicas graves a las vacunas en el pasado | cope_a_352, Me preocupa que no interactúe bien con mis otros medicamentos / tratamientos actuales | cope_a_353, Estoy embarazada, planeando un embarazo o amamantando | COPE_A_202, No lo sé todavía. | COPE_A_204, Otro",,,,,,"[dmfs_xx_1] = 'cope_a_317' or [dmfs_xx_1] = 'cope_a_273' or [dmfs_xx_1] = 'cope_a_315' or [dmfs_xx_1] = 'cope_a_316'",,,,,,@NONEOFTHEABOVE=COPE_A_202
dmfs_29a,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[dmfs_29(COPE_A_204)] = '1'",,,,,,
dmfs_xx_1_seconddose,covid19_vaccine_survey,,radio,"Cuando una segunda dosis de la vacuna contra el coronavirus (COVID-19) esté disponible para usted, ¿qué tan probable es que usted quiera recibir la vacuna?","cope_a_318, Muy probable | cope_a_317, Probable | cope_a_273, No lo sé todavía | cope_a_315, Poco probable | cope_a_316, Muy poco probable",,,,,,"[cdc_covid_xx_seconddose] = 'COPE_A_13' and ([cdc_covid_xx_b_firstdose] = 'cope_a_335' or [cdc_covid_xx_b_firstdose] = 'cope_a_330' or [cdc_covid_xx_b_firstdose] = 'cope_a_331' or [cdc_covid_xx_b_firstdose] = 'COPE_A_204')",,,,,,
dmfs_29_seconddose,covid19_vaccine_survey,,checkbox,"¿Qué posibles motivos harían que no se vacunara? Elija todas las opciones que correspondan.","cope_a_293, No quiero pagarla | cope_a_354, Es difícil conseguir una cita | cope_a_355, Tuve una reacción alérgica grave a la primera dosis de la vacuna contra el coronavirus (COVID-19) | cope_a_356, Tengo familiares/amigos que han tenido una reacción alérgica grave a la segunda vacuna contra el coronavirus (COVID-19) | cope_a_353, Estoy embarazada, planeando un embarazo o amamantando (lactando) | COPE_A_204, Otro",,,,,,"[dmfs_xx_1_seconddose] = 'cope_a_317' or [dmfs_xx_1_seconddose] = 'cope_a_273' or [dmfs_xx_1_seconddose] = 'cope_a_315' or [dmfs_xx_1_seconddose] = 'cope_a_316'",,,,,,
dmfs_29_seconddose_other,covid19_vaccine_survey,,text,"Por favor, especifique:",,,,,,,"[dmfs_29_seconddose(COPE_A_204)] = '1'",,,,,,
outro_text,covid19_vaccine_survey,,descriptive,"¡Gracias por participar en la Encuesta sobre vacunación contra el coronavirus (COVID-19)! Ahora que ha terminado de compartir sus opiniones con All of Us, no olvide presionar el botón ""Enviar"" para asegurarse de que sus respuestas queden registradas correctamente. Es posible que nos comuniquemos con usted para preguntarle sobre futuras experiencias relacionadas con la vacunación contra COVID-19.

Si está interesado en ver recursos adicionales sobre la investigación científica y las vacunas contra COVID-19, así como los recursos relacionados con la salud mental, consulte la lista de Recursos de ayuda para COVID-19 en la sección Apoyo en su Portal del participante.",,,,,,,,,,,,,
