field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,spanish_covid19_participant_experience_cope_survey,,text,"Record ID",,,,,,,,,,,,,
cope_may,spanish_covid19_participant_experience_cope_survey,,descriptive,"Encuesta sobre la experiencia del participante (COPE) de Covid-19 de mayo de 2020",,,,,,,,,,,,,"Launched 5/7/2020-5/29/2020 (PTSC) & 5/8/2020-5/30/2020 (CE)."
section_intro,spanish_covid19_participant_experience_cope_survey,,descriptive,"¿Qué debo saber antes de participar? 

El Programa Científico All of Us busca entender los cambios en sus experiencias y su salud durante la pandemia de la enfermedad del coronavirus 2019 (COVID-19). Ayúdenos a saber más al completar esta encuesta. Su participación puede ayudar a investigadores científicos en todo el mundo a entender mejor el impacto de la pandemia COVID-19 durante estos tiempos difíciles. El Programa Científico All of Us repetirá esta encuesta a lo largo de la pandemia.

Las preguntas de esta encuesta pueden ser sensibles y pueden causar preocupación o ansiedad. Recuerde que su privacidad es muy importante para nosotros. Su nombre e identidad se separarán de sus respuestas antes de compartirlas con los investigadores científicos autorizados.

Mientras responde, nadie estará observando sus respuestas. Sin embargo, en base a sus respuestas el sistema automáticamente puede sugerirle una línea de apoyo telefónico gratuito para recibir ayuda inmediata.",,,,,,,,,,,,,
section_participation,spanish_covid19_participant_experience_cope_survey,,radio,"Puede dejar de participar en esta encuesta en cualquier momento. Esta encuesta le tomará de 15 a 20 minutos aproximadamente para completarla.","COPE_A_44, Sí, todavía quiero participar en la encuesta.|COPE_A_13, No quiero participar en la encuesta.",,,,,,,y,LV,,,,
section_instructions,spanish_covid19_participant_experience_cope_survey,,descriptive,"Responda cada pregunta de la manera más honesta posible. Estamos buscando sus propias respuestas, no lo que usted piensa que su doctor, familiares o amigos quieren que responda.

No sienta que debe pasar mucho tiempo respondiendo cada pregunta. La primera respuesta que le viene a la mente normalmente es la mejor. Si no está seguro(a) sobre cómo responder una pregunta, elija la mejor respuesta de las opciones que se le presentan. Algunas preguntas también le permiten indicar si no sabe la respuesta o si prefiere no responder. Algunas de estas preguntas podrían ser delicadas. Puede decidir no responderlas.",,,,,,,,,,,,,
cdc_covid_19_21,spanish_covid19_participant_experience_cope_survey,"Experiencias de distanciamiento social

Las siguientes preguntas son acerca de sus experiencias con el distanciamiento social. El distanciamiento social significa mantener espacio entre usted y otras personas que viven fuera de su casa.",radio,"En el último mes, ¿le han causado estrés las recomendaciones de distanciamiento social?","COPE_A_43, Mucho | COPE_A_3, Algo | COPE_A_67, Un poco | COPE_A_168, Nada",,,,,,,,LV,,,,
msds_9,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, me he quedado en casa todo el día.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_10,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he ido a mi lugar de trabajo (pagado o voluntario) que está fuera de mi casa.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_11,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he asistido a reuniones sociales fuera de mi casa de MÁS de 10 personas.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_12,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he asistido a reuniones sociales fuera de mi casa de MENOS de 10 personas.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_13,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he ido de compras a un centro comercial u otro lugar, o he salido ""solo por diversión"".","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_14,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he visitado residencias para ancianos (asilos) o centros de cuidado a largo plazo (por motivos que no son de trabajo).","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días",,,,,,,,LV,,,,
msds_15,spanish_covid19_participant_experience_cope_survey,,radio,"Piense en sus hábitos sociales actuales ... en los últimos 5 días, he estado en contacto cercano con alguien que pertenece a un grupo de riesgo para el coronavirus (COVID-19) (adultos de 50 años o más, personas con enfermedades crónicas como enfermedades cardíacas, pulmonares, hepáticas o renales, diabetes, presión arterial alta o sistema inmunitario deficiente [defensas bajas]).
Esto incluye a personas dentro y fuera de su vivienda.","COPE_A_171, Ninguno de los días (0 días) | COPE_A_53, Varios días (1-2 días) | COPE_A_127, La mayoría de los días (3-4 días) | COPE_A_150, Todos los días | COPE_A_202, No sé",,,,,,,,LV,,,,
msds_16,spanish_covid19_participant_experience_cope_survey,,radio,"En relación a las actividades anteriores, en los últimos 5 días, mi interacción social con personas fuera de mi casa fue:","COPE_A_138, Mucho menos de lo normal | COPE_A_78, Un poco menos de lo normal | COPE_A_146, Casi normal | COPE_A_64, Más de lo normal | COPE_A_26, Mucho más de lo normal",,,,,,,,LV,,,,
msds_18,spanish_covid19_participant_experience_cope_survey,,radio,"Ahora, piense en las recomendaciones y las órdenes relacionadas al coronavirus (COVID-19)... En el último mes, ¿con qué frecuencia sigue las recomendaciones de higiene durante esta pandemia, por ejemplo, lavarse las manos frecuentemente, evitar tocarse la cara, cubrirse la boca al toser, usar una mascarilla/cubrebocas y evitar las superficies que se tocan frecuentemente en los espacios públicos? ","COPE_A_129, Todo el tiempo | COPE_A_194, La mayor parte del tiempo | COPE_A_151, A veces | COPE_A_41, Rara vez",,,,,,,,LV,,,,
cdc_covid_19_7_xx22,spanish_covid19_participant_experience_cope_survey,"Síntomas relacionados al coronavirus (COVID-19)

Las siguientes preguntas son acerca de sus experiencias con síntomas similares a los de COVID-19 o gripe (influenza).",radio,"En el último mes, ¿ha estado enfermo(a) por más de un día a causa de una nueva enfermedad relacionada al coronavirus (COVID-19) o síntomas de influenza (gripe)? ","COPE_A_44, Sí | COPE_A_13, No",,,,,,,,LV,,,,
cdc_covid_19_7_xx22_date,spanish_covid19_participant_experience_cope_survey,,text,"Fecha aproximada del inicio de síntomas [mm/dd/yyyy]",,,date_mdy,,,,"[cdc_covid_19_7_xx22] = 'COPE_A_44'",,LV,,,,
cdc_covid_19_7_xx23,spanish_covid19_participant_experience_cope_survey,,checkbox,"¿Cuáles de los siguientes síntomas presentó? Elija todos los que correspondan. (deslice hacia abajo para ver las opciones)","COPE_A_54, Fiebre | COPE_A_20, Tos | COPE_A_83, Dolor de garganta | COPE_A_40, Goteo (moqueo) o congestión nasal | COPE_A_192, Dificultad para respirar o falta de aire/aliento | COPE_A_65, Fatiga inusual | COPE_A_49, Dolores musculares más fuertes de lo normal | COPE_A_96, Dolor de cabeza | COPE_A_69, Mareos o aturdimiento | COPE_A_122, Pérdida del olfato o del gusto | COPE_A_36, Dolor o molestia inusual en los ojos (p. ej., sensibilidad a la luz o lagrimeo excesivo) | COPE_A_183, Voz más ronca de lo normal | COPE_A_39, Dolor en el pecho u opresión en el pecho inusuales | COPE_A_188, Dolor abdominal o dolor de estómago inusuales | COPE_A_114, Diarrea | COPE_A_105, Náuseas | COPE_A_185, Falta de apetito (saltarse comidas)",,,,,,"[cdc_covid_19_7_xx22] = 'COPE_A_44'",,LV,,,,
copect_17,spanish_covid19_participant_experience_cope_survey,,radio,"¿Alguna vez ha estado cerca de alguien que sabe o sospecha que ha tenido coronavirus (COVID-19), ya sean compañeros de trabajo, familiares u otros? Elija todas las opciones que correspondan.","COPE_A_199, Sí, con personas que sé que han tenido coronavirus (COVID-19). | COPE_A_32, Sí, con personas que sospecho que han tenido coronavirus (COVID-19). | COPE_A_2, No que yo sepa.",,,,,,,,LV,,,,
copect_40_xx15,spanish_covid19_participant_experience_cope_survey,,radio,"¿Usted cree que ha tenido coronavirus (COVID-19)?","COPE_A_13, No | COPE_A_44, Sí | COPE_A_203, Tal vez",,,,,,,,LV,,,,
cdc_covid_19_9_xx25,spanish_covid19_participant_experience_cope_survey,"Pruebas relacionadas al coronavirus (COVID-19)

Las siguientes preguntas son acerca de sus experiencias con pruebas relacionadas a síntomas del coronavirus (COVID-19) en el último mes.",radio,"En el último mes, ¿se le ha hecho la prueba del coronavirus (COVID-19)?","COPE_A_44, Sí | COPE_A_13, No | COPE_A_202, No sé",,,,,,,,LV,,,,
cdc_covid_19_9_xx24,spanish_covid19_participant_experience_cope_survey,,radio,"¿El resultado de la prueba de coronavirus (COVID-19) fue positivo?","COPE_A_44, Sí | COPE_A_13, No | COPE_A_14, No sé | COPE_A_117, Estoy esperando los resultados",,,,,,"[cdc_covid_19_9_xx25] = 'COPE_A_44'",,LV,,,,
cdc_covid_19_n_a,spanish_covid19_participant_experience_cope_survey,,checkbox,"¿Cómo se le realizó la prueba? Elija todas las opciones que correspondan.","COPE_A_166, Muestra nasal | COPE_A_124, Muestra faríngea (de la garganta) | COPE_A_55, Muestra de sangre",,,,,,"[cdc_covid_19_9_xx25] = 'COPE_A_44'",,LV,,,,
cdc_covid_19_9b,spanish_covid19_participant_experience_cope_survey,,radio,"En el último mes, ¿se le hizo la prueba de influenza (gripe)?","COPE_A_44, Sí | COPE_A_13, No | COPE_A_14, No sé",,,,,,,,LV,,,,
copect_63_xx20,spanish_covid19_participant_experience_cope_survey,"Tratamientos relacionados con el coronavirus (COVID-19)

Las siguientes preguntas son acerca de tratamientos que podría haber recibido en el último mes y que están relacionados al coronavirus (COVID-19).",checkbox,"Si se enfermó y presentó síntomas de coronavirus (COVID-19) en el último mes, ¿cómo recibió su tratamiento? Elija todas las opciones que correspondan.","COPE_A_175, No recibí tratamiento, no estaba enfermo(a) | COPE_A_141, Me recuperé en casa | COPE_A_77, Hablé con un proveedor de servicios de la salud y no ingresé al hospital | COPE_A_9, Ingresé al hospital por lo menos una noche",,,,,,,,LV,,,,
