field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,salud_general,,text,"Record ID",,,,,,,,,LV,,,,
overallhealth,salud_general,,text,"Salud general",,,,,,,,,,,,,"Launched 5/30/2017 (PTSC) & 12/10/2019 (CE)."
overallhealth_intro,salud_general,,descriptive,"Esta encuesta le hace preguntas sobre su salud en general. Su privacidad es muy importante para nosotros. Sus respuestas sólo se compartirán con los investigadores aprobados después de que hayamos quitado su nombre.

Tomará más o menos 5-10 minutos para contestar estas preguntas. Por favor, responda cada pregunta de la manera más honesta posible. Para cualquiera de estas preguntas no hay respuestas correctas o incorrectas. Es importante que responda a todas las preguntas que pueda. Estamos buscando sus propias respuestas, y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomar mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. ",,,,,,,,,,,,,
overallhealth_medicalformconfidence,salud_general,,radio,"¿Qué tan seguro se siente para completar las formas/formularios por usted mismo?","MedicalFormConfidence_Extremely, Extremadamente | MedicalFormConfidence_QuiteABit, Bastante | MedicalFormConfidence_Somewhat, Algo | MedicalFormConfidence_ALittleBit, Un poco | MedicalFormConfidence_NotAtAll, Nada",,,,,,,,LV,,,,
overallhealth_healthmaterialassistance,salud_general,,radio,"¿Qué tan frecuente usted tiene a alguien que lo ayuda a leer información (documentos) relacionada con su salud? ","HealthMaterialAssistance_Always, Siempre | HealthMaterialAssistance_Often, A menudo | HealthMaterialAssistance_Sometimes, A veces | HealthMaterialAssistance_Occasionally, De vez en cuando | HealthMaterialAssistance_Never, Nunca",,,,,,,,LV,,,,
overallhealth_difficultunderstandinfo,salud_general,,radio,"¿Qué tan frecuente tiene problemas para conocer su estado de salud porque tiene dificultad en entender la información escrita? ","DifficultUnderstandInfo_Always, Siempre | DifficultUnderstandInfo_Often, A menudo | DifficultUnderstandInfo_Sometimes, A veces | DifficultUnderstandInfo_Occasionally, De vez en cuando | DifficultUnderstandInfo_Never, Nunca",,,,,,,,LV,,,,
overallhealth_generalhealth,salud_general,"Las próximas 10 preguntas son sobre su salud y actividades diarias. ",radio,"En general, diría que su salud es:","GeneralHealth_Excellent, Excelente | GeneralHealth_VeryGood, Muy buena | GeneralHealth_Good, Buena | GeneralHealth_Fair, Pasable | GeneralHealth_Poor, Mala",,,,,,,,LV,,,,
overallhealth_generalquality,salud_general,,radio,"En general, diría que su calidad de vida es:","GeneralQuality_Excellent, Excelente | GeneralQuality_VeryGood, Muy buena | GeneralQuality_Good, Buena | GeneralQuality_Fair, Pasable | GeneralQuality_Poor, Mala",,,,,,,,LV,,,,
overallhealth_generalphysicalhealth,salud_general,,radio,"En general, ¿cómo calificaría su salud física?","GeneralPhysicalHealth_Excellent, Excelente | GeneralPhysicalHealth_VeryGood, Muy buena | GeneralPhysicalHealth_Good, Buena | GeneralPhysicalHealth_Fair, Pasable | GeneralPhysicalHealth_Poor, Mala",,,,,,,,LV,,,,
overallhealth_generalmentalhealth,salud_general,,radio,"En general, ¿cómo calificaría su salud mental, incluidos su estado de ánimo y su capacidad para pensar?","GeneralMentalHealth_Excellent, Excelente | GeneralMentalHealth_VeryGood, Muy buena | GeneralMentalHealth_Good, Buena | GeneralMentalHealth_Fair, Pasable | GeneralMentalHealth_Poor, Mala",,,,,,,,LV,,,,
overallhealth_socialsatisfaction,salud_general,,radio,"En general, ¿cómo calificaría su satisfacción con sus actividades sociales y sus relaciones con otras personas? ","SocialSatisfaction_Excellent, Excelente | SocialSatisfaction_VeryGood, Muy buena | SocialSatisfaction_Good, Buena | SocialSatisfaction_Fair, Pasable | SocialSatisfaction_Poor, Mala",,,,,,,,LV,,,,
overallhealth_everydayactivities,salud_general,,radio,"¿En qué medida puede realizar sus actividades físicas diarias, como caminar, subir escaleras, cargar las compras o mover una silla? ","EverydayActivities_Completely, Totalmente | EverydayActivities_Mostly, En su mayoría | EverydayActivities_Moderately, Moderadamente | EverydayActivities_ALittle, Un poco | EverydayActivities_NotAtAll, Para nada",,,,,,,,LV,,,,
overallhealth_averagepain7days,salud_general,,slider,"En los últimos 7 días, ¿cómo calificaría su dolor en promedio?","0 (Ningún dolor) |  | 10 (El peor dolor imaginable)",,,,,,,,LH,,,,
overallhealth_averagefatigue7days,salud_general,,radio,"En los últimos 7 días, en promedio, ¿cómo calificaría su cansancio?","AverageFatigue7Days_None, Ninguno | AverageFatigue7Days_Mild, Leve | AverageFatigue7Days_Moderate, Moderado | AverageFatigue7Days_Severe, Intenso | AverageFatigue7Days_VerySevere, Muy intenso",,,,,,,,LV,,,,
overallhealth_generalsocial,salud_general,,radio,"En general, califique en qué medida puede realizar sus actividades sociales y funciones habituales. (Esto comprende las actividades en casa, en el trabajo y en el área donde reside, así como sus responsabilidades como padre o madre, hijo/a, cónyuge, empleado/a, amigo/a, etc.)
","GeneralSocial_Excellent, Excelente | GeneralSocial_VeryGood, Muy buena | GeneralSocial_Good, Buena | GeneralSocial_Fair, Pasable | GeneralSocial_Poor, Mala",,,,,,,,LV,,,,
overallhealth_emotionalproblem7days,salud_general,,radio,"En los últimos 7 días, ¿Con qué frecuencia le han afectado problemas emocionales como sentir ansiedad, depresión o irritabilidad? ","EmotionalProblem7Days_Never, Nunca | EmotionalProblem7Days_Rarely, Rara vez | EmotionalProblem7Days_Sometimes, Algunas veces | EmotionalProblem7Days_Often, A menudo | EmotionalProblem7Days_Always, Siempre",,,,,,,,LV,,,,
overallhealth_menstrualstopped,salud_general,"Las siguientes preguntas son sobre la salud de la mujer. La salud de la mujer es muy importante al considerar su estado de su salud general. Al responder a las siguientes preguntas nos ayudará a tener una imagen completa de su salud en general. ",radio,"¿Ha dejado de tener sus períodos menstruales (menstruación) permanentemente?","MenstrualStopped_PeriodsHaventStopped, No | MenstrualStopped_YesNone, Sí, no tengo periodos menstruales | MenstrualStopped_YesButHormone, Sí, tengo periodos menstruales, pero inducidos (provocados) por hormonas | MenstrualStopped_NotSureMenstrualStopped, No estoy segura | PMI_PreferNotToAnswer, Prefiero no responder",,,,,,,,LV,,,,
