field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,historia_mdica_personal,,text,"Record ID",,,,,,,,,,,,,
personalmedicalhistoryspanish,historia_mdica_personal,,descriptive,"ESPAÑOL Historia médica personal",,,,,,,,,,,,,"Launched 10/12/2018 (PTSC) & 3/9/2020 (CE), Retired on 11/1/2021"
circulatory_circulatoryconditions,historia_mdica_personal,"Esta encuesta pregunta sobre Historia Médica Personal. Esto es para mejor entender como esta podría afectar la salud. Para asegurar su privacidad, su nombre se separará de sus respuestas antes de compartirlas con los investigadores.

Responder a las siguientes preguntas le tomará de 10 a 15 minutos. Por favor, responda cada pregunta de la manera más honesta posible. Para cualquiera de estas preguntas no hay respuestas correctas o incorrectas. Es importante que responda a todas las preguntas que pueda. Estamos buscando sus propias respuestas, y no lo que piensan sus doctores, familiares, o amigos.

No sienta que tiene que tomar mucho tiempo para cada pregunta. La primera respuesta que se le ocurra es usualmente la mejor. Si no está seguro(a) cómo responder la pregunta, escoja la mejor respuesta de las opciones presentadas. Si no está seguro de qué es una enfermedad, vaya al símbolo con la letra ""i"" que está a la derecha para obtener más información. 

Enfermedades del Corazón y la Sangre",checkbox,"¿Le ha dicho un médico o proveedor de cuidado de salud que usted tiene...? Seleccione todo lo que corresponda.","CirculatoryConditions_Anemia, Anemia | CirculatoryConditions_AtrialFibrillation, Fibrilación auricular (FA) o palpitación auricular | CirculatoryConditions_BleedingDisorder, Trastorno hemorrágico | CirculatoryConditions_CongestiveHeartFailure, Insuficiencia cardíaca congestiva | CirculatoryConditions_CoronaryArtery, Enfermedad coronaria/de las arterias coronarias | CirculatoryConditions_HeartAttack, Infarto del corazón | CirculatoryConditions_HeartValveDisease, Enfermedad de las válvulas del corazón | CirculatoryConditions_HighCholesterol, Colesterol alto | CirculatoryConditions_Hypertension, Hipertensión (presión arterial alta) | CirculatoryConditions_PeripheralVascularDisease, Enfermedad vascular periférica | CirculatoryConditions_PulmonaryEmbolism, Embolia en los pulmones o trombosis de las venas profundas | CirculatoryConditions_SickleCellDisease, Anemia de células falciformes | CirculatoryConditions_Stroke, Accidente cerebrovascular | CirculatoryConditions_TransientIschemicAttack, Ataque isquémico transitorio (AIT o accidente cerebrovascular transitorio) | CirculatoryConditions_OtherHeartorBloodCondition, Otra enfermedad del corazón o de la sangre | CirculatoryConditions_NoHeartorBloodCondition, No tengo ninguna enfermedad del corazón ni de la sangre",,,,,,,,,,,,
circulatory_anemiacurrently,historia_mdica_personal,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para anemia?","AnemiaCurrently_Yes, Sí | AnemiaCurrently_No, No",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_howoldwereyouanemia,historia_mdica_personal,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía de anemia?","HowOldWereYouAnemia_Child, Niño(0-11) | HowOldWereYouAnemia_Adolescent, Adolescente (12-17) | HowOldWereYouAnemia_Adult, Adulto (18-64) | HowOldWereYouAnemia_OlderAdult, Adulto mayor (65-74) | HowOldWereYouAnemia_Elderly, Tercera edad (75+)",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_rxmedsforanemia,historia_mdica_personal,,radio,"¿Actualmente tiene medicamentos recetados y/o recibiendo tratamiento por anemia?","RxMedsforAnemia_Yes, Sí | RxMedsforAnemia_No, No",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1'",,,,,,
circulatory_atrialfibrillationcurrently,historia_mdica_personal,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para fibrilación auricular (FA) o palpitación auricular?","AtrialFibrillationCurrently_Yes, Sí | AtrialFibrillationCurrently_No, No",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_howoldwereyouatrialfibrillation,historia_mdica_personal,,radio,"¿Aproximadamente cuántos años tenía cuando le dijeron por primera vez que padecía de fibrilación auricular (FA) o palpitación auricular?","HowOldWereYouAtrialFibrillation_Child, Niño (0-11) | HowOldWereYouAtrialFibrillation_Adolescent, Adolescente (12-17) | HowOldWereYouAtrialFibrillation_Adult, Adulto (18-64) | HowOldWereYouAtrialFibrillation_OlderAdult, Adulto mayor (65-74) | HowOldWereYouAtrialFibrillation_Elderly, Tercera edad (75+)",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_rxmedsforatrialfibrillation,historia_mdica_personal,,radio,"¿Actualmente tiene medicamentos recetados y/o recibiendo tratamiento por fibrilación auricular (FA) o palpitación auricular?","RxMedsforAtrialFibrillation_Yes, Sí | RxMedsforAtrialFibrillation_No, No",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_AtrialFibrillation)] = '1'",,,,,,
circulatory_bleedingdisordercurrently,historia_mdica_personal,,radio,"¿Todavía está viendo a algún médico o proveedor de servicios de salud para trastorno hemorrágico?","BleedingDisorderCurrently_Yes, Sí | BleedingDisorderCurrently_No, No",,,,,,"[circulatory_circulatoryconditions(CirculatoryConditions_BleedingDisorder)] = '1'",,,,,,
